Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"sqrt(x0 * 18.257776) - -0.41155416"
8,6.124281e-5,"sqrt(x0 * ((x0 / -2.311648) + 23.051445))"
9,6.12426e-5,"sqrt(x0) * sqrt((x0 / -2.3116684) + 23.051445)"
10,5.4232663e-5,"sqrt(x0 * ((x0 / -2.2933908) + 23.104465)) + -0.0071127773"
11,9.228004e-6,"sqrt(x0) * (sqrt((x0 / -5.471362) + 4.878403) + 2.581297)"
13,7.773566e-6,"(sqrt((x0 / -5.734635) + 4.524524) + 2.6595478) * (sqrt(x0) + 0.00070187263)"
16,9.7296e-7,"sqrt((sqrt(x0 / sqrt(x1)) + ((x0 / -1.9288578) + 22.440598)) * x0) - -0.014490538"
18,9.68737e-7,"sqrt(((sqrt(x0 / sqrt(0.7527306 + x1)) + 22.447727) + (x0 / -1.9307232)) * x0) - -0.014088096"
20,9.632469e-7,"sqrt(((((x0 + x2) / -1.9307806) + sqrt(x0 / sqrt(x1 + 0.7527305))) + 22.447754) * x0) - -0.014169157"
21,8.8404107e-7,"sqrt((sqrt(x0 / sqrt(x1)) + ((x0 / -1.9296827) + 22.44033)) * x0) - (-0.014158542 - (sin(x0) * x2))"
25,7.4946297e-7,"sqrt(((sqrt(x0 / sqrt(x1)) - -21.545893) + ((x0 / -1.9256669) + 0.90144837)) * x0) - (-0.014420222 - (x2 * sin(x0 * -0.46558717)))"
27,7.49356e-7,"sqrt((((sqrt(x0 / sqrt(x1)) - -21.545906) + (x0 / -1.9256927)) + 0.9014467) * x0) - (-0.014403961 - (x2 * sin((x0 * -0.46558747) + x2)))"
28,7.474796e-7,"sqrt(((sqrt(x0 / sqrt(x1)) - -21.545906) + ((x0 / -1.9256927) + 0.9014467)) * x0) - (-0.014403961 - (x2 * sin((x0 * -0.46558747) + sqrt(x2))))"
30,7.2781387e-7,"((sqrt(x0 * (((sqrt(x0 / sqrt(x1)) - -21.540415) + (x0 / -1.9295068)) + 0.9003214)) - -0.014000077) - (x2 * (0.9003394 - sin(x0 + sin(x0))))) + x2"
