Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127071 - x0"
5,51.282616,"(x0 * -0.6409756) + 15.273205"
6,46.22322,"exp(exp(cos(x0 * -0.49132875)))"
8,46.181526,"exp(exp(cos(x0 * -0.49164134))) + 0.20487565"
10,45.712826,"exp(exp(cos(exp(cos(x0 * 0.49735)) + 3.6687977)))"
12,45.62407,"exp(exp(cos(exp(cos(x0 * 0.49864593) + 0.16557762) + 3.374164)))"
13,45.437172,"exp((sin(x0 * -1.6705694) + (x0 * -1.185888)) + 18.086424) + 2.0890687"
15,45.414375,"exp(sin((x0 * -1.5354816) + -1.8507919) + ((x0 * -1.1919676) + 18.12988)) + 2.079207"
17,45.108833,"exp(exp(cos(cos(exp(((x0 * -0.4843824) + cos(x0 * 0.9213031)) + 6.8787374)) + 0.8546678)))"
18,45.034958,"exp(exp(cos(exp(cos(exp(((cos(x0 + 1.6020736) + x0) * -1.1586765) + 15.961163))) - 0.7511554)))"
20,44.917824,"exp(exp(cos((cos(exp(exp((x0 * -0.53702444) + (cos(x0 * 0.88656867) + 6.7072577)))) + 0.90372527) * -3.144616)))"
22,44.916748,"exp(exp(cos((cos(exp(exp((x0 * -0.53702444) + (cos(x0 * 0.88656867) + 6.7072577)))) + 0.90372527) * -3.144616) - x2))"
27,44.85245,"exp(exp(sin(cos((sqrt(exp(cos(exp(exp(cos(x0 * 0.91066223)) + ((x0 * -0.5694527) + 6.5865774))))) + -0.7179645) * 4.182776) - -0.7488606))) + -0.6968123"
