Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(-0.09633954 - sqrt(x0)) * -4.272862"
8,6.124279e-5,"sqrt(((x0 * -0.43262446) + 23.051779) * x0)"
10,5.4233522e-5,"sqrt(((x0 * -0.43588367) + 23.102102) * x0) + -0.0068410723"
12,7.375299e-6,"((x0 * ((x0 * -0.0006285654) + -0.039676294)) + 4.7871437) * sqrt(x0)"
14,3.7768236e-6,"(sqrt(x0) * ((x0 * ((x0 * -0.0006913497) + -0.03851397)) + 4.780032)) - -0.0060671903"
15,3.7766988e-6,"(sqrt(x0) * ((x0 * ((-0.0006913497 * x0) + -0.03851397)) + 4.780032)) - sin(-0.0060671903)"
16,9.935841e-7,"(((x0 * -0.02742895) + 4.7683744) * (sqrt(x0) - ((x0 * x0) * 0.0011962861))) + 0.009726572"
18,9.932394e-7,"((sqrt(x0) - (((x0 * x0) + 0.4947892) * 0.0011967004)) * ((x0 * -0.027424555) + 4.7683268)) + 0.012576028"
20,8.939947e-7,"(((((x0 + 0.1293669) * -0.033357766) + 4.769996) * sqrt(x0)) - (x0 * ((x0 + -1.781182) * 0.0041567194))) + 0.01003134"
24,5.2198675e-7,"(sqrt(x0) * ((x0 * (x0 * -0.00041973143)) + ((sqrt(x0) * 0.031615257) + 4.750234))) + (((x0 * sqrt(x0)) * -0.048480608) + 0.0121586975)"
