Complexity,Loss,Equation
1,875.1075,"36.520393"
2,486.18625,"exp(input_u)"
3,76.785515,"input_u ^ 3.269551"
4,60.872673,"9.101495 ^ sqrt(input_u)"
5,24.313072,"input_u ^ (8.853359 - time)"
7,17.804018,"input_u ^ (4.611997 - (input_u * 0.36024675))"
11,4.336823,"(time + -2.774773) ^ (4.099838 - (2.206668e-9 ^ (-2.015766 + input_u)))"
13,4.112058,"0.893135 + ((time + -2.774773) ^ (4.099838 - (2.206668e-9 ^ (input_u + -2.016614))))"
15,4.014562,"(0.893135 - 0.36914358) + ((time + -2.774773) ^ (4.099838 - (2.206668e-9 ^ (input_u + -2.016614))))"
17,2.5922225,"((3.0159547 + ((time + -1.8743498) ^ (3.0159547 - (4.0393514e-30 ^ (-2.0125334 + input_u))))) / 2.8365602) * input_u"
19,1.9266042,"input_u * (((1.0500318 + ((-1.8743498 + time) ^ (3.0159547 - (4.0393514e-30 ^ (-2.0125334 + input_u))))) / 2.8365602) - -0.4136162)"
20,1.6776122,"sqrt(time) + ((input_u / 2.8365602) * ((time + -1.8743498) ^ (3.0159547 - (2.5780303e-10 ^ (2.8365602 * (-2.0125334 + input_u))))))"
21,1.3895973,"sqrt(time) + ((input_u / 2.8365602) * ((time + -1.8743498) ^ (3.0159547 - (2.5780303e-10 ^ (exp(input_u) * (-2.0125334 + input_u))))))"
26,0.7440834,"((((((time + -1.5674564) ^ (2.820971 - (0.5044229 ^ ((input_u + -2.0092514) * exp(time))))) * input_u) + 2.939326) / 2.7230244) - (0.4613082 ^ input_u)) - -0.37075543"
27,0.73460454,"((((((time + -1.5674564) ^ (2.820971 - (0.5044229 ^ ((input_u + -2.0092514) * exp(time))))) * input_u) + 2.939326) / 2.7230244) - (exp(-1.1515378) ^ input_u)) - -0.37075543"
