Complexity,Loss,Equation
1,693.4588,"68.53676"
2,618.161,"exp(input_u)"
3,130.06668,"input_u ^ 3.1560934"
4,7.333625,"9.058523 ^ sqrt(input_u)"
5,3.511013,"(input_u * 2.491795) ^ 1.9223028"
7,2.136332,"(input_u * 22.440483) ^ (time ^ 0.067598924)"
9,1.2271657,"((input_u ^ (time ^ 0.12646756)) * 27.577665) + -22.401173"
10,0.7399949,"(7.6291623 ^ (sqrt(input_u) - -0.17245005)) * (time ^ 0.003397019)"
11,0.023399113,"((input_u * 4.5366993) * (input_u + 0.5915791)) ^ (time ^ 0.003397019)"
12,0.017298307,"input_u * (((input_u + 0.44790465) * 4.6734705) ^ sqrt(time ^ 0.0032389169))"
13,0.0044945856,"(2.9863799 + ((2.5003717 * input_u) * (input_u + input_u))) ^ (time ^ 1.3068368e-8)"
15,0.00012273838,"((((input_u * 2.5003717) * (input_u + input_u)) + 1.3586677) * (time ^ 1.3068368e-8)) - -1.6273737"
17,1.267285e-8,"(((time ^ 9.794693e-9) * (((input_u + input_u) * (input_u * 3.288611)) + 1.6674911)) + 2.2791977) * 0.7601971"
