Complexity,Loss,Equation
1,0.8917763,"1.1307502"
2,0.8329999,"exp(input_u)"
3,0.7083184,"1.6822692 ^ input_u"
4,0.6930029,"exp(input_u * 0.66212726)"
5,0.6916245,"input_u + (8.336431 / time)"
7,0.64037496,"log(exp((20.689428 / time) ^ input_u))"
8,0.5969716,"(1.0744228 ^ input_u) ^ exp(19.44025 / time)"
9,0.55606943,"(input_u + 18.30828) ^ (input_u / (time - 5.374522))"
10,0.45565453,"(input_u + 4.690565) ^ (input_u / exp(time - 7.606131))"
11,0.3914003,"sqrt(1.0589201 ^ exp(sqrt(exp((20.689428 / time) ^ input_u))))"
13,0.24824265,"sqrt(sqrt(1.1875877 ^ ((-0.15808772 + ((13.319004 / time) ^ input_u)) ^ time)))"
15,0.16716342,"sqrt(sqrt(1.3406705 ^ (((((13.357242 / time) ^ input_u) + -0.3510952) ^ time) / 0.54601216)))"
16,0.1632369,"sqrt(sqrt(sqrt(1.2253712 ^ ((((13.24688 / time) ^ input_u) + -0.22839162) ^ (time / 0.7499929)))))"
17,0.16005597,"log(sqrt((1.6310214 ^ ((((12.967059 / time) ^ input_u) + -0.502208) ^ (time / 0.44479558))) / 0.13800171))"
