Complexity,Loss,Equation
1,601.4942,"27.910612"
2,411.87668,"exp(input_u)"
3,55.802494,"input_u ^ 3.3893373"
5,20.738832,"input_u ^ (8.853358 - time)"
6,20.34171,"sqrt(input_u) ^ (10.120699 - input_u)"
7,19.36272,"input_u ^ (4.8353515 - (input_u * 0.43129325))"
8,17.420586,"sqrt(input_u ^ (10.202448 - input_u)) - 2.4685466"
9,17.418306,"(input_u ^ (5.074679 - (input_u * 0.49245825))) - 2.3360765"
10,16.246021,"sqrt((input_u ^ (10.250479 - input_u)) - -18.046528) + -4.200157"
12,15.963563,"sqrt((input_u ^ (10.254036 - input_u)) - (-21.803926 / input_u)) + -4.209953"
13,9.027926,"(1.6883088 ^ (time - (((time + -1.9012477) - input_u) ^ 8.8310375))) * input_u"
14,2.4240394,"(2.1951268 ^ (time - (sqrt(input_u ^ -94.1885) * 1.77655e14))) * (input_u / 4.1523304)"
15,1.6202637,"input_u * ((2.2315378 ^ (time - ((input_u ^ -98.83677) * (time ^ 42.915928)))) / 4.5455923)"
16,1.6129012,"(((2.3312266 ^ (time - (sqrt(input_u ^ -94.07473) * 1.77655e14))) * input_u) / 5.9112234) + 1.4539493"
17,0.76652145,"((2.348972 ^ (time - ((input_u ^ -98.96955) * (time ^ 42.98834)))) * (input_u / 6.1711736)) + 1.4419117"
19,0.66993487,"((1.8662328 ^ (time - ((time ^ 43.085133) * (input_u ^ -98.803116)))) * ((input_u / 1.4532123) - 0.39582363)) - -1.4844886"
20,0.3877763,"((time ^ (log(time) - ((time + (-1.9898821 - input_u)) ^ exp(exp(input_u))))) + input_u) * (input_u + -0.54085475)"
21,0.35204208,"(input_u + -0.36613998) * (sqrt(input_u) + (time ^ (log(time) - (((-1.9925992 - input_u) + time) ^ exp(exp(input_u))))))"
22,0.03505154,"((input_u + -0.6548874) * (time ^ (log(time + 0.61379004) - ((time + (-1.9914953 - input_u)) ^ exp(exp(input_u)))))) + 1.5391369"
24,0.013987338,"((((time ^ (log(time) - (((time + -1.9903659) - input_u) ^ exp(exp(input_u))))) * 2.0825436) * (input_u + -0.94093096)) ^ 0.901898) + 1.5644488"
26,0.011865696,"((input_u + (-1.013675 / input_u)) * ((time ^ (log(time + 0.1603959) - (((-1.9897981 - input_u) + time) ^ exp(exp(input_u))))) + 0.21299677)) + 1.4136649"
27,0.00977932,"(((time ^ (log(time) - ((time + (-1.9898856 - input_u)) ^ exp(exp(input_u))))) * ((input_u + -0.871589) * 1.7824048)) ^ 0.9255155) + (sqrt(input_u) - -0.3793401)"
