Complexity,Loss,Equation
1,1602.2919,"39.26469"
2,311.21692,"exp(input_u)"
3,109.64236,"input_u * 20.11476"
5,1.7953776,"input_u * (input_u * 5.1895146)"
7,1.1554289,"(input_u * (input_u * 6.5134096)) ^ 0.95143694"
8,1.155421,"sqrt(((input_u * input_u) * 6.5109735) ^ 1.9030318)"
9,1.1535408,"(((input_u * 6.489506) * input_u) + 0.060939535) ^ 0.9520671"
10,1.1041898,"sqrt(((input_u * (input_u * 6.5109744)) ^ 1.9030272) + 0.3257633)"
11,1.0674626,"sqrt(sqrt(((input_u * (input_u * 6.49442)) ^ 3.8079722) + 0.50065345))"
12,1.0449685,"sqrt((((input_u * input_u) * 7.4108133) ^ 1.8575699) - -3.2066472) + -1.1886711"
13,0.66468066,"((input_u * input_u) * 6.566454) ^ (time * (0.9498056 / (time + -3.696761e-5)))"
15,0.6631537,"(0.0707551 + ((6.5664606 * input_u) * input_u)) ^ ((time * 0.94974655) / (time - 3.6909747e-5))"
17,0.64594334,"(input_u + ((((5.430445 * (input_u * input_u)) + 0.22807571) * time) / (time + -0.00016691492))) ^ 0.9795166"
18,0.571077,"((((input_u / 0.43646896) / exp(input_u)) + ((time * 5.0253315) / (-4.110528e-5 + time))) * input_u) * input_u"
20,0.5252036,"(time * (input_u * ((input_u * (exp(input_u) ^ (0.28577912 ^ input_u))) * (5.2907515 / (time + 0.00014833763))))) - input_u"
21,0.37178987,"(((input_u * ((input_u * input_u) ^ (0.25971603 ^ input_u))) * time) * ((input_u / (time - -0.00048739143)) * 5.0815115)) + 0.6750237"
23,0.25157785,"((0.0042365035 ^ (0.11014463 ^ (input_u * input_u))) * (((4.9709797 / (time + 0.0017274308)) * (time * (input_u * input_u))) - -2.9191206)) + 0.6520823"
25,0.22783221,"(((((input_u * input_u) * time) * 5.1141806) / (time + 0.00077570055)) * ((((input_u * 0.7822997) * input_u) ^ 16.578938) ^ (0.07188398 ^ input_u))) + 1.0121545"
26,0.2119915,"((input_u * (exp(input_u - ((0.001512546 ^ input_u) * 789.9124)) ^ (0.20762461 ^ input_u))) * (((time * input_u) * 5.0864253) / (time + 0.001512546))) + 0.97590744"
27,0.21033536,"((((input_u * ((exp(input_u - ((0.001512546 ^ input_u) * 789.9124)) ^ (exp(-1.554958) ^ input_u)) * time)) * 5.0864253) * input_u) / (time + 0.001512546)) + 1.0041754"
28,0.07314741,"((input_u * ((input_u * ((exp(input_u - (((0.001512546 ^ input_u) * 789.9124) ^ 5.8556395)) ^ (0.20762461 ^ input_u)) * time)) * 5.0864253)) / (time + 0.001512546)) + 0.9780461"
30,0.07314738,"0.9780461 + (input_u * (input_u * ((time * 5.0864253) * ((exp(input_u - ((789.9124 * (0.001512546 ^ input_u)) ^ (5.0864253 - -0.76921403))) ^ (0.20762461 ^ input_u)) / (time + 0.001512546)))))"
