Complexity,Loss,Equation
1,0.89177626,"1.1308286"
2,0.8329999,"exp(input_u)"
3,0.69300276,"1.9389197 ^ input_u"
6,0.6786735,"sqrt((47.392868 / time) ^ input_u)"
7,0.601378,"(-1.6703092 + (30.6229 / time)) ^ input_u"
8,0.5781101,"exp((input_u + (time * -0.40369108)) + 3.3377166)"
10,0.5134969,"exp((-0.5141299 * time) + (input_u + 4.379574)) ^ input_u"
12,0.4549328,"sqrt((time / ((time - (47.392868 / time)) - input_u)) ^ input_u)"
14,0.30633298,"sqrt((time / (time - (47.392868 / ((time / input_u) - input_u)))) ^ input_u)"
15,0.28593025,"((((input_u + 0.7737306) * ((30.623692 / time) + -2.551871)) ^ input_u) ^ input_u) ^ 1.783833"
17,0.27183452,"(((((30.6229 / time) + -2.5688868) * (input_u + 0.99571216)) ^ input_u) ^ input_u) ^ sqrt(exp(input_u))"
18,0.259166,"sqrt((time / ((time - (47.436928 / (time / input_u))) - 1.1861008)) * (1.5306176 / (time ^ 0.2672929)))"
19,0.24120058,"(((((0.99571216 + input_u) * (((30.6229 / time) + -2.5688868) ^ input_u)) ^ input_u) ^ input_u) ^ input_u) ^ 1.4909889"
20,0.24030598,"(time / (time - (47.392868 / ((time / input_u) - sqrt(0.6929617))))) ^ (1.1628503 / (exp(sqrt(time)) ^ 0.16668625))"
21,0.21572304,"((0.9352268 * ((((((47.382126 / time) + -8.895686) + (47.382126 / time)) * 1.4638414) ^ input_u) ^ input_u)) ^ input_u) ^ input_u"
23,0.16906895,"((((((((47.382126 / time) + -8.895686) + (47.382126 / time)) * 1.4638414) ^ input_u) * 0.9352268) ^ input_u) ^ (input_u * input_u)) ^ input_u"
25,0.15259437,"((((((((((47.402756 / time) + -8.66122) + (47.402756 / time)) ^ input_u) ^ input_u) * 1.6562098) ^ 1.1948202) ^ input_u) * 0.5503478) ^ input_u) ^ input_u"
