Complexity,Loss,Equation
1,693.4589,"68.535736"
2,618.161,"exp(input_u)"
3,130.88225,"input_u * 20.00463"
4,7.3336253,"9.058498 ^ sqrt(input_u)"
5,3.511023,"(input_u ^ 1.9220842) * 5.7855935"
7,3.436473,"((input_u ^ 1.8354517) * 6.760436) - 2.894393"
9,3.4028451,"(input_u - -2.5756016) * ((input_u * 4.038943) + -3.5010898)"
10,3.1361015,"((input_u * (44.125057 * sqrt(time))) ^ 0.851082) + 9.926418"
11,0.020102924,"(((-0.40398115 - input_u) * -4.713465) ^ (time ^ 0.00045783166)) * input_u"
12,0.01940649,"(((-0.40398115 - input_u) * -4.713465) ^ (sqrt(time) ^ 0.00045783166)) * input_u"
13,0.00023475861,"1.8831371 + (((input_u * input_u) - -0.23649654) * ((time ^ 0.00078786083) * 4.996878))"
14,0.00019105893,"((((input_u * input_u) - -0.23649654) * sqrt(time ^ 0.0011429405)) * 4.996878) + 1.8755329"
16,0.00013890672,"((input_u - (-0.26575184 / input_u)) * (sqrt(time ^ 0.0011429405) * (4.996878 * input_u))) + 1.7204646"
17,8.275722e-5,"((input_u - (-0.26575184 / input_u)) * ((sqrt(sqrt(time ^ 0.0011429405)) * 4.996878) * input_u)) + 1.7204646"
21,6.011356e-5,"((time ^ (0.0011429405 / input_u)) * (((input_u - ((-0.23649654 + -0.02925531) / input_u)) * 4.996878) * input_u)) + (1.8831371 - 0.1626725)"
22,1.727904e-5,"((((input_u - ((-0.23649654 + -0.02925531) / input_u)) * (sqrt(time ^ 0.0011429405) * (4.996878 * input_u))) + 1.8831371) - 0.1626725) - -0.012803247"
