Complexity,Loss,Equation
1,1359.1182,"59.572"
2,427.67175,"exp(input_u)"
3,106.43031,"input_u ^ 3.1322737"
4,5.78634,"9.018881 ^ sqrt(input_u)"
5,2.2636526,"(input_u * 5.185965) * input_u"
6,1.261366,"(sqrt(input_u) + 0.51070285) ^ 4.800276"
7,1.0166824,"((input_u + 0.36161247) * input_u) * 4.7634525"
8,0.7749006,"((sqrt(input_u) + 0.5812464) ^ 4.699706) - 3.0461373"
9,0.7729069,"((0.5812464 + sqrt(input_u)) ^ 4.699706) - exp(1.101959)"
10,0.7590468,"((sqrt(input_u) + 0.5396218) ^ 4.7311997) - (3.0147913 - input_u)"
12,0.6791729,"(sqrt(input_u + 1.8447835) ^ 5.1002464) - ((time + 3.7971964) - -1.9473194)"
18,0.3721041,"(sqrt(input_u) + 0.50092274) ^ (4.820094 - (input_u ^ (-11.689154 - (((input_u ^ 0.6040136) + -1.1678606) - input_u))))"
