Complexity,Loss,Equation
1,1538.3398,"49.374397"
2,393.42593,"exp(input_u)"
3,119.17279,"input_u * 20.219088"
5,2.0219376,"(input_u * 5.189732) * input_u"
7,1.1364921,"((input_u * input_u) ^ 0.94837266) * 5.998744"
9,1.1092395,"((input_u - -0.2903968) * (input_u * 4.816492)) - -0.403436"
10,1.1039461,"sqrt(((input_u * (6.6228924 * input_u)) ^ 1.8961227) - -0.32684538)"
11,0.5340946,"(-0.3382848 - (input_u * (time ^ 0.00036917516))) * (input_u / -0.2089324)"
12,0.5338898,"((-0.3382848 - (input_u * sqrt(time ^ 0.00036917516))) * input_u) / -0.2089324"
13,0.47901705,"((input_u * (time ^ 0.00040772755)) * (1.5370238 - (input_u / -0.2093459))) + 0.46252343"
15,0.47829324,"(((time ^ 0.00040772755) * input_u) * ((0.8202065 / 0.5274953) - (input_u / -0.2093459))) + 0.40601656"
18,0.38787636,"((input_u * (-0.38241214 - input_u)) * ((time ^ 0.0010344354) / (-0.21180058 - (exp(input_u) ^ -4.036834)))) + 0.33773354"
19,0.38313016,"((input_u * (-0.38241214 - input_u)) * ((sqrt(time) ^ 0.0010344354) / (-0.21180058 - (exp(input_u) ^ -4.036834)))) + 0.33773354"
20,0.27904314,"((time ^ 0.0010344354) * (((-0.38241214 - input_u) / (-0.21180058 - (exp(input_u * input_u) ^ -2.794107))) * input_u)) + 0.40574205"
22,0.24304758,"(((((-0.38241214 - input_u) / (-0.21180058 - (exp(input_u * input_u) ^ -2.794107))) + -0.069499336) * input_u) + 0.5963337) * (time ^ 0.0010344354)"
23,0.08654592,"(input_u * ((time ^ (0.0010344354 - (2196.1401 ^ ((-1.0041806 + input_u) / -0.1613343)))) * (-0.6103908 - ((0.4859721 + input_u) / -0.21180058)))) - -0.7711672"
24,0.078999825,"(input_u * ((sqrt(time) ^ (0.0010344354 - (2196.1401 ^ ((-1.0041806 + input_u) / -0.1613343)))) * (-0.6103908 - ((0.4859721 + input_u) / -0.21180058)))) - -0.7711672"
25,0.06435055,"((-0.6103908 - ((input_u + 0.47964606) / -0.21180058)) * ((time ^ (0.00022496002 - (2196.1401 ^ ((-1.0162773 + (input_u * input_u)) / -0.113037705)))) * input_u)) - -0.86334693"
26,0.06286163,"((-0.6103908 - ((input_u + 0.47964606) / -0.21180058)) * ((sqrt(time) ^ (0.00022496002 - (2196.1401 ^ ((-1.0162773 + (input_u * input_u)) / -0.113037705)))) * input_u)) - -0.86334693"
27,0.061312694,"((-0.6103908 - ((input_u + 0.47964606) / -0.21180058)) * ((time ^ (0.00022496002 - (2196.1401 ^ ((((input_u * input_u) * input_u) + -1.0162773) / -0.113037705)))) * input_u)) - -0.86334693"
29,0.06015735,"((((-0.6103908 - ((input_u + 0.47964606) / -0.21180058)) * (time ^ (0.00022496002 - (2196.1401 ^ (((input_u * (input_u * input_u)) + -1.0162773) / -0.113037705))))) * input_u) - -0.8296998) - -0.06612034"
