Complexity,Loss,Equation
1,0.8917763,"1.1307856"
2,0.8329999,"exp(input_u)"
3,0.69300276,"1.9389197 ^ input_u"
6,0.6925266,"exp((input_u * 0.6848859) + -0.024871126)"
8,0.69252646,"exp((input_u - (input_u * 0.3150766)) + -0.02486894)"
9,0.6906917,"((input_u + 1.3171874) * (input_u / 2.2637916)) + 0.93589777"
10,0.6894447,"exp((0.13638003 ^ ((0.2712037 ^ input_u) + -0.2889099)) - 0.35364124)"
11,0.61154515,"exp(sqrt((input_u * input_u) ^ ((1.0957725 - input_u) * 18.497938)))"
15,0.60652405,"((input_u * input_u) ^ ((3.1971748 - (input_u / 0.35460028)) * 5.0724516)) + (1.5212901 ^ input_u)"
16,0.5918573,"sqrt(exp(sqrt(((input_u * 1.7860961) * input_u) ^ ((1.4502311 - input_u) * 17.603542))) ^ 0.21858425)"
20,0.58590734,"sqrt(exp((sqrt(((input_u * input_u) * 2.038669) ^ (((1.3651131 - input_u) * 10.8794) + 1.4520247)) * 0.21852635) ^ 1.83324))"
25,0.57834697,"log(sqrt(sqrt(sqrt(sqrt(exp((((input_u * (input_u * 1.8278123)) ^ ((1.3846388 - input_u) * (input_u + 14.813908))) * input_u) + 9.399975))) - -30.043646)))"
26,0.57034004,"sqrt(sqrt(exp((input_u * (input_u * 1.710151)) ^ ((input_u + ((1.7667122 - input_u) * (((1.5107996 - input_u) * 10.79183) + 2.9005291))) - input_u))) ^ 0.13923183)"
