Complexity,Loss,Equation
1,1604.1134,"33.50998"
2,237.61617,"exp(input_u)"
3,111.39157,"input_u * 20.23026"
4,99.85049,"exp(input_u + 0.2600476)"
5,1.4518847,"input_u * (input_u * 5.1857953)"
7,0.78288877,"((input_u * input_u) * 6.610859) ^ 0.94856334"
8,0.78286725,"sqrt(((input_u * input_u) * 6.6106153) ^ 1.8971773)"
9,0.78112024,"(0.05111502 - ((input_u * input_u) * -6.5877657)) ^ 0.9491852"
10,0.72315735,"sqrt(((input_u * (input_u * 6.605144)) ^ 1.8974351) - -0.32101065)"
11,0.6792903,"sqrt(sqrt((((input_u * input_u) * 6.630561) ^ 3.7917876) + 0.50167))"
12,0.6436507,"sqrt(((input_u * (input_u * 7.505528)) ^ 1.8527023) + 2.7722554) + -1.0973653"
13,0.5755808,"sqrt(sqrt(((input_u * (input_u * 7.5766277)) ^ 3.6982222) + 12.465505)) - 1.0605959"
14,0.56182414,"(input_u * -4.6696916) * (((0.5984457 ^ exp(input_u * input_u)) - input_u) + -0.45122942)"
15,0.44226426,"exp(1.2532004 - exp((input_u * -20.515528) + 21.982706)) - ((input_u * input_u) * -4.9717655)"
17,0.37964782,"exp(1.3297907 - exp((input_u * -21.016394) + 21.514816)) - ((0.5046194 - (input_u * 5.0746856)) * input_u)"
19,0.2366311,"((((input_u * (exp(input_u - exp(input_u * input_u)) + -0.2939579)) - 0.08872266) * input_u) * -16.215673) - -1.085603"
21,0.08936423,"(3.2315183 - exp((input_u * (input_u - exp((input_u * 21.331001) + -21.756691))) + 0.9713821)) - (input_u * (input_u * -4.9855466))"
22,0.073671564,"3.5953078 - (exp(exp((input_u - exp((input_u * 21.269464) + -21.832254)) * (input_u + -0.12507701))) - (input_u * (input_u * 5.0250487)))"
23,0.06378959,"3.0208006 - (exp((input_u * (input_u * (1.3458482 - exp((input_u * 21.221851) + -21.371834)))) + 0.8167347) - (input_u * (input_u * 4.9987307)))"
25,0.037863582,"3.016871 - (exp(((input_u - exp((input_u * 21.082008) + -21.55956)) * ((0.12817617 - input_u) * -1.7022239)) + 0.7432244) - (input_u * (input_u * 4.9990573)))"
27,0.034609158,"3.0515032 - (exp((input_u * (((0.124305494 - input_u) * -1.6211714) - exp(((input_u * 23.960037) - 2.3156033) + -21.773323))) + 0.77173024) - (input_u * (input_u * 4.9968033)))"
