Complexity,Loss,Equation
1,565.2319,"61.872887"
3,112.44272,"input_u * 19.033447"
5,4.8300233,"input_u * (input_u / 0.19177857)"
7,4.2659388,"(input_u * 4.8678513) * (input_u + 0.2668838)"
8,4.1171384,"input_u * ((0.8266811 - sqrt(input_u)) * -17.716148)"
9,4.0461392,"(((input_u * 3.8132725) + 8.2974825) * input_u) - 11.091615"
10,3.893815,"(sqrt(input_u - 1.9912343) + (input_u * input_u)) / 0.20832546"
11,3.8046708,"(input_u * (((input_u + -5.8688674) * input_u) + 38.65033)) + -41.798363"
12,2.975489,"((input_u * sqrt(input_u + -1.9986223)) * (input_u + 8.131988)) - -14.723159"
13,1.1049632,"(input_u * ((input_u * 4.5109124) + 2.7100334)) - (0.37456614 / (input_u + -1.9771278))"
14,0.946519,"(((input_u * 4.2449145) + 4.0787587) * input_u) - sqrt(input_u / (input_u + -1.9945679))"
15,0.1888866,"(((input_u * 4.6941247) + 1.6530485) * input_u) - ((0.1285302 / (input_u + -1.993994)) + -1.2296696)"
17,0.18776582,"(input_u * ((4.6941247 * input_u) + 1.6530485)) - (((0.1285302 / (input_u + -1.993994)) + -1.2296696) - 0.029330326)"
21,0.042270433,"input_u * (2.6839325 / ((-1.6028227 / ((0.88051516 / ((-0.4517276 / ((input_u + -1.982339) * -7.824496)) - 2.774512)) - input_u)) / 2.8711884))"
23,0.04172442,"input_u * ((2.6839325 / ((-1.6028227 / ((0.88051516 / ((-0.4517276 / ((input_u + -1.982339) * -7.824496)) - 2.774512)) - input_u)) / 2.8711884)) - 0.008459632)"
25,0.041221853,"(input_u * 2.6839347) / ((-1.6028191 / ((0.8805165 / ((-0.45171338 / (((-1.2898953 - input_u) * 2.3416271) * (input_u + -1.982002))) - 2.7745137)) - input_u)) / 2.8711903)"
27,0.039726418,"((input_u * (2.6839325 / ((-1.6028227 / ((0.88051516 / ((-0.4517276 / ((input_u + -1.982339) * -7.824496)) - 2.774512)) - input_u)) / 2.8711884))) - (0.052784406 * input_u)) + 0.15391949"
