Complexity,Loss,Equation
1,916.6229,"64.47619"
3,141.21426,"input_u * 20.017174"
5,3.0196664,"(input_u * input_u) / 0.19249703"
7,1.5987163,"((input_u * input_u) * 5.017369) + 2.7102115"
9,1.5978473,"(((input_u * 4.983373) + 0.21398088) * input_u) - -2.4070818"
11,1.5874155,"(input_u * input_u) * ((-0.97968507 / (0.74847156 - input_u)) + 4.8874674)"
13,0.9636892,"((-0.07456425 / (2.008872 - input_u)) + ((input_u * 5.008875) * input_u)) + 2.8008463"
19,0.8077276,"((0.00038606577 / (input_u + ((input_u + -3.6325167e-5) - (input_u * input_u)))) + ((input_u * input_u) * 4.9999976)) + 3.0005398"
24,0.807727,"((((0.0001983993 / (((input_u + input_u) + ((sqrt(input_u) / 2893.5898) / -6.54207)) - (input_u * input_u))) + 4.9999976) * input_u) * input_u) + 3.0005398"
25,0.80772555,"((((0.00013437144 / (((input_u + ((input_u / 3055.6401) / -12.935249)) + input_u) - (input_u * input_u))) + 4.9999886) * (input_u * input_u)) + 2.9622476) - -0.038249597"
