Complexity,Loss,Equation
1,1050.5284,"22.803465"
3,80.97658,"input_u * 18.50898"
5,2.3324037,"input_u * (input_u * 5.2130914)"
7,2.2693212,"((input_u * 5.073472) - -0.52294225) * input_u"
8,2.1621501,"input_u * (input_u * sqrt(31.010014 - input_u))"
10,2.1605535,"input_u * (sqrt((input_u * -1.1096627) - -31.43084) * input_u)"
11,1.3554242,"(-0.1453906 / (input_u + -1.992232)) - ((input_u * -5.217249) * input_u)"
15,0.7853045,"((input_u * input_u) * ((input_u * -0.13196354) - -5.7280407)) + (0.049481306 / (1.9975395 - input_u))"
17,0.7205205,"(input_u * (((-0.013513902 / ((input_u * -2.8646586) - -5.7320085)) + (input_u * -0.13695714)) - -5.732007)) * input_u"
19,0.71732044,"input_u * (input_u * (((-0.013513805 / ((input_u * -2.8646615) - -5.732007)) + ((-0.057071168 + input_u) * -0.13695768)) - -5.731913))"
20,0.7128624,"(((input_u * -0.13535614) - -5.731905) * (input_u * input_u)) + (sqrt(0.39056) / (-5.944243 * (2.246824 - (input_u * 1.1208179))))"
23,0.70518416,"input_u * (input_u * ((0.68565536 / (((((input_u * -2.86457) - -5.9442444) / -0.052707665) - -5.944243) - input_u)) + ((input_u * -0.13535623) - -5.731905)))"
28,0.7041005,"(((sqrt(0.47012323) / (((((input_u * -2.8645735) - -5.944243) / (0.30222267 / (-2.8648748 * input_u))) - -5.944243) - input_u)) + ((input_u * -0.13535614) - -5.731905)) * input_u) * input_u"
30,0.7027153,"(input_u + (sqrt(0.44237775) / ((((input_u * -2.8645735) - -5.944243) / (0.30222267 / (-5.944243 + (input_u * -2.8645735)))) - (-5.944243 - input_u)))) * (((input_u * -0.13535614) - -5.731905) * input_u)"
