Complexity,Loss,Equation
1,1082.36,"63.886097"
3,188.27977,"input_u * 19.973795"
5,14.975599,"input_u * (input_u * 5.17522)"
7,12.707798,"((input_u * 5.3987064) * input_u) + -3.4447298"
8,9.310942,"(sqrt(input_u) * (input_u + -1.1391323)) * 14.586892"
9,7.9807415,"(input_u * 40.012882) - ((-47.443764 / input_u) + 87.900894)"
11,7.9526424,"(input_u * (input_u + 32.30416)) - ((-36.56757 / input_u) + 70.52917)"
13,7.7777195,"((input_u + 29.940668) * input_u) - (((-21.409138 / input_u) / input_u) + 53.19744)"
15,7.736264,"(((input_u + 19.219671) * input_u) - (((-13.4780035 / input_u) / input_u) + 34.279533)) * 1.4101654"
17,7.4382925,"((input_u + 29.18041) * input_u) - ((-3.5006304 / ((input_u * (input_u + -1.6294383)) + 0.79988676)) + 49.08786)"
19,7.3734045,"((input_u + 28.82833) * input_u) - ((-4.1737947 / ((input_u * ((input_u + -1.2736149) * input_u)) + 0.48305398)) + 47.438873)"
21,7.3002954,"((input_u + 28.674322) * input_u) - ((-4.430935 / (((input_u * ((input_u + -1.3994606) * input_u)) + 0.626141) * input_u)) + 46.749393)"
23,7.2152343,"(input_u * (input_u + 28.575659)) - ((-4.4421773 / (input_u * (((((input_u + -1.5514) * input_u) * input_u) + 0.7834259) * input_u))) + 46.329174)"
25,7.161726,"(input_u * (input_u + 28.552967)) - ((-6.500449 / ((input_u * input_u) * (((input_u + -1.405184) * (input_u * (input_u * input_u))) + 0.74907804))) + 46.227238)"
27,7.10046,"((input_u + 28.55056) * input_u) - ((-2.4979613 / (((input_u * (((input_u - 1.2651087) * (input_u + -1.1152849)) + 0.105767936)) * (input_u * input_u)) * input_u)) + 46.209793)"
29,7.0565295,"((input_u + 28.48353) * input_u) - ((-2.1346462 / ((((input_u * input_u) * ((((input_u - 1.142631) * (input_u - 1.331024)) + 0.07580743) * input_u)) * input_u) * input_u)) + 45.949696)"
