Complexity,Loss,Equation
1,1714.4911,"45.99295"
3,152.39813,"input_u * 20.291656"
5,8.5167,"(input_u * input_u) * 5.172384"
7,8.412131,"(input_u * 5.3129277) * (input_u + -0.10774739)"
9,8.380106,"((input_u * 5.2904663) * (input_u + -0.07619887)) + -0.30555883"
11,7.975532,"((input_u + -0.3845628) * ((input_u * -0.23227963) + 6.6776805)) * input_u"
12,7.145654,"(sqrt(((input_u * input_u) * input_u) + 5.065933) + -2.204173) * 13.671469"
14,6.9931974,"(sqrt((((input_u - 0.7113829) * input_u) * input_u) + 1.8353345) + -1.2509392) * 13.637866"
16,6.957099,"(sqrt(((input_u + -0.77327275) * ((input_u - -0.20966318) * input_u)) + 1.9812021) + -1.313448) * 13.503562"
18,6.949883,"input_u + ((sqrt(((input_u * (input_u + -0.95580614)) * (input_u - -0.37915435)) + 2.1946084) + -1.3847909) * 13.125631)"
19,6.847155,"(((input_u * (input_u - 0.6709247)) * (input_u * 0.20918463)) - -0.048828784) * (((input_u + -10.462388) * input_u) + 33.253685)"
21,6.789433,"(((input_u * (input_u + -10.450537)) + 33.23723) * ((input_u * (((input_u * 0.20443194) - 0.10192252) * input_u)) - -0.14348096)) - 3.406311"
26,6.785608,"((((input_u * (input_u + -10.443601)) + 33.228054) * ((input_u * (((input_u * 0.20440252) - 0.10864455) * input_u)) - -0.06624407)) + -0.12540525) - sqrt(input_u + 0.5335314)"
