Complexity,Loss,Equation
1,776.943,"44.081295"
3,119.35069,"input_u * 17.68274"
5,4.229285,"(input_u * input_u) * 5.245862"
6,4.2292843,"input_u * (input_u * sqrt(27.519068))"
7,3.171719,"((input_u + 0.32864973) * 4.7997694) * input_u"
9,2.9554043,"((input_u * (input_u + 0.81408036)) * 4.4405284) - 2.5741806"
10,2.9280252,"((input_u * (input_u + 6.6250405)) * sqrt(input_u)) + -1.9658865"
11,2.8496108,"((-4.042429 / input_u) + ((input_u * 4.9449944) * input_u)) + 4.8765445"
12,2.833007,"(input_u + -0.5811767) * (((sqrt(input_u) * 1.5821403) * input_u) + 11.604734)"
14,2.8329988,"((((input_u - 0.033622574) * 1.5873212) * sqrt(input_u)) + 11.674272) * (input_u + -0.581769)"
15,2.5088906,"input_u + ((input_u - ((input_u * -4.7410793) * input_u)) - (-0.006240678 / (input_u - 2.0006614)))"
17,2.0937777,"(input_u + (input_u - ((input_u * (input_u * -4.7422857)) - (0.009128604 / (input_u - 2.0009234))))) + -0.64607275"
19,2.0249715,"(input_u - ((-4.7422857 * input_u) * input_u)) + (input_u - ((1.2156961 / input_u) - (0.009128604 / (input_u - 2.0009234))))"
21,1.9926089,"(input_u + (input_u - ((-4.7422857 * (-0.008520843 + input_u)) * input_u))) - ((1.079678 / input_u) - (0.009128604 / (input_u - 2.0009234)))"
23,1.9342096,"(input_u - ((input_u - ((-1.072669 / input_u) - (0.036659855 / (input_u - 1.9963984)))) + ((input_u * input_u) * -4.6056447))) - (input_u * -2.3290577)"
25,1.8369719,"(input_u - ((input_u * (input_u * -4.6056447)) + (input_u - ((-1.121778 / (input_u * input_u)) - (0.036659855 / (input_u - 1.9963984)))))) - (input_u * -2.3290577)"
27,1.8369511,"((input_u - (((input_u * (-4.6056447 * input_u)) + input_u) - ((-1.121778 / (input_u * input_u)) - (0.036659855 / (input_u - 1.9963984))))) - (input_u * -2.3290577)) + 0.008188516"
28,1.8179723,"(sqrt(input_u) + (-2.3889048 / input_u)) - (((input_u * (-4.735161 * input_u)) + -1.7179506) - (input_u - (2.098076 / ((-4.798386 / ((1.9304732 - input_u) * -2.3889048)) + 29.089308))))"
30,1.8085353,"((-2.3889048 / (input_u + -0.118851766)) + sqrt(input_u)) - ((((input_u * input_u) * -4.735161) + -1.7519991) - (input_u - (1.9304756 / ((-4.798417 / ((1.9304756 - input_u) * -2.3889048)) + 29.089302))))"
