Complexity,Loss,Equation
1,1804.8038,"39.51623"
3,95.49744,"input_u * 20.739424"
5,1.9145304,"input_u * (input_u * 5.1771207)"
7,1.7975292,"input_u * ((input_u * 5.0029798) + 0.71830827)"
9,1.6828959,"(input_u * input_u) * ((input_u * -0.101678506) + 5.602369)"
11,0.85368603,"input_u * ((0.08549561 / (input_u - 2.0094533)) + (input_u * 5.148271))"
13,0.78054595,"(input_u * ((0.08549561 / (input_u - 2.0094533)) + (input_u * 5.148271))) - -0.27333927"
15,0.772738,"(((input_u * 5.148271) + (0.08549561 / (input_u - (2.0094533 * 0.99936384)))) * input_u) - -0.27333927"
17,0.67303854,"(((input_u * 5.0121403) + (0.55482996 - (0.076737925 / (6.15219 - (input_u * 3.0717728))))) * input_u) - -0.36381114"
21,0.64770305,"((((input_u * 5.0121403) + 0.6053011) - (0.07673792 / (((input_u / input_u) + 5.151328) - (input_u * 3.0717728)))) * input_u) - -0.3118324"
29,0.64556557,"(input_u * (((input_u * (5.151328 / 1.0277702)) + (0.07673792 - (0.07673792 / (5.151328 + ((input_u / input_u) - ((1.9431573 * input_u) * (1.5377539 - -0.043061372))))))) - -0.52856314)) - -0.24935338"
