Complexity,Loss,Equation
1,521.1289,"15.085692"
3,56.039494,"input_u * 15.760186"
5,1.4357162,"(input_u * input_u) * 5.2976036"
7,1.0974894,"input_u * ((input_u * 4.9277196) + 1.1948515)"
9,0.9584272,"(((input_u * -0.24810372) + 6.1274686) * input_u) * input_u"
11,0.9387621,"input_u * ((((input_u * -0.19928044) + 5.839954) * input_u) + 0.4012381)"
13,0.84100056,"((input_u + (input_u / (input_u + (1.4922439 / input_u)))) * input_u) / 0.23911926"
15,0.7850829,"(((input_u / ((1.7550862 / input_u) + input_u)) + input_u) * (input_u / 0.2394118)) + 0.30496603"
17,0.45715633,"(input_u * ((0.15344255 / (input_u + ((0.015960194 / (input_u + -1.0198495)) + -1.022362))) + input_u)) * 5.1720533"
19,0.41090637,"(5.1720533 * (input_u * (input_u + (0.15344255 / ((0.015960194 / (-1.0198495 + input_u)) + (-1.022362 + input_u)))))) - -0.2547762"
21,0.3107505,"((input_u * 4.9387455) * (input_u + (0.10149581 / (((0.017909713 / (input_u + (input_u - 2.0461147))) + input_u) + -0.9668869)))) + input_u"
23,0.16876775,"(input_u - -0.4447883) + ((input_u * 4.8623576) * ((0.12232905 / (((0.036786932 / ((input_u + input_u) - 2.08153)) + -0.8825531) + input_u)) + input_u))"
25,0.15971698,"(input_u * ((input_u * (((0.82707024 / (-0.90820843 + (input_u + (0.13951664 / ((input_u - 1.020507) / 0.096786425))))) / 1.264365) + 4.8033237)) - -0.5269624)) + 0.43692583"
27,0.10276323,"((input_u / 0.7798822) * ((((0.29761973 / (input_u + 1.0184858)) + input_u) + (0.15450971 / (input_u + ((0.03203859 / (input_u + -1.0573559)) + -0.8456553)))) * 3.903837)) + 0.74368715"
29,0.10078784,"(((input_u / 0.7842478) * (input_u + ((0.44051307 + (0.29440805 / (((0.028444143 / (input_u + -1.0608954)) + -0.8652455) + input_u))) / ((input_u / input_u) + input_u)))) * 3.9277756) + 0.71249646"
