Complexity,Loss,Equation
1,501.93988,"18.030273"
3,56.44036,"input_u * 15.229362"
5,1.8327543,"(input_u * input_u) * 5.3268256"
7,1.35369,"(input_u + 0.27592131) * (input_u * 4.889234)"
9,1.1729981,"(input_u * (input_u * -108.27839)) / (-17.133343 - input_u)"
11,1.1640555,"(input_u * -121.842896) * ((input_u - -0.04835267) / (-20.038284 - input_u))"
12,1.1609045,"input_u * ((input_u * -106.66022) / (-16.829632 - sqrt(input_u * input_u)))"
14,1.1573157,"((input_u * -115.96019) + -3.8758347) * (input_u / (-18.811535 - sqrt(input_u * input_u)))"
15,0.7718776,"((input_u * input_u) * ((1.5041373 / (1.0055091 - input_u)) + -113.51419)) / (-18.276567 - input_u)"
17,0.7697367,"(((1.532909 / (1.0056051 - input_u)) + ((input_u - -0.027848361) * -114.63225)) * input_u) / (-18.576862 - input_u)"
21,0.7523869,"((input_u * (input_u * (-113.51419 + (1.5041373 / (1.0055091 - input_u))))) + (-0.31813663 / (-1.0898895 + input_u))) / (-18.276567 - input_u)"
27,0.7274473,"(((input_u * 0.73872536) * (input_u * (((input_u + input_u) / (((input_u / 11.354892) * input_u) + 0.099749364)) + input_u))) - -0.85211354) - (input_u * (input_u + 2.841364))"
