Complexity,Loss,Equation
1,1804.8038,"39.51623"
3,95.49744,"input_u * 20.739424"
5,1.9145304,"input_u * (input_u * 5.1771207)"
7,1.7975292,"input_u * ((input_u * 5.0029798) + 0.71830827)"
11,1.6828959,"(input_u * (2.8011825 - (input_u * 0.050838783))) * (input_u + input_u)"
13,1.6804869,"input_u * (((input_u * -0.057205826) - -2.8459475) * ((input_u + input_u) + -0.057328813))"
15,1.6804864,"(input_u * ((input_u * -0.05719885) - -2.8459163)) * ((input_u + (input_u + 0.45199585)) + -0.50931525)"
16,1.679391,"sqrt(((input_u - -0.43008476) * (((-0.601173 - -24.88443) * input_u) * (input_u * input_u))) + 0.67420125)"
18,1.5959287,"sqrt((((input_u - -0.7317989) * (-0.124139965 - (input_u * (input_u * -23.239052)))) * input_u) + 3.687272) - 1.1938086"
20,1.589917,"sqrt(3.687272 + (((input_u - -0.7317989) * (-2.0059118 - (input_u * ((input_u * -23.239052) + -0.2921191)))) * input_u)) - 1.1938086"
22,1.4370984,"sqrt((((input_u - -1.3112457) * (-5.668497 - ((input_u * 0.0107109845) + ((input_u * -21.530924) * input_u)))) * input_u) + 6.9594007) - 1.8063025"
