Complexity,Loss,Equation
1,1295.4359,"64.71825"
3,213.84552,"input_u * 20.336721"
5,19.066124,"(input_u * input_u) / 0.1937114"
7,13.595151,"((input_u * input_u) / 0.18264788) + -5.0143332"
8,13.051249,"-16.237825 - ((sqrt(input_u) * input_u) / -0.08049958)"
9,11.693131,"((input_u * (input_u + 1.5664749)) - 3.1579769) / 0.22935519"
10,11.261997,"(input_u * ((sqrt(input_u) * 21.099964) + -22.439337)) + input_u"
12,10.636051,"((((input_u + -1.8213476) / 0.067858174) - -2.153013) + 7.535546) * sqrt(input_u)"
14,10.52044,"(((input_u * 15.493458) - 8.77741) + -9.75184) * sqrt(input_u + (input_u / -12.53602))"
15,7.9376554,"(((input_u + (-94.42336 - (input_u * -40.13148))) * input_u) + (input_u + 51.819904)) / input_u"
19,7.9376526,"((((((-96.42354 - (input_u * -40.13151)) + input_u) * input_u) + input_u) + 51.82009) + (input_u + input_u)) / input_u"
23,7.9376493,"input_u + ((((input_u * 3.092864) + (input_u - 5.7958307)) * (((input_u + (input_u + -0.45608678)) + -0.16354607) - 1.2040532)) / (input_u / 4.9026093))"
