Complexity,Loss,Equation
1,351.23804,"9.219609"
3,76.31868,"input_u * 13.9751835"
5,10.392311,"(input_u * input_u) / 0.1935366"
7,9.625097,"((input_u - 0.31551605) * input_u) * 5.742653"
9,9.541336,"((input_u * input_u) * (input_u + 10.494767)) / 2.6693604"
10,9.479175,"((input_u + input_u) * sqrt(input_u - -3.391576)) * input_u"
12,9.334125,"input_u * ((sqrt(input_u - -1.3063467) + 3.3923078) * (-0.2169398 + input_u))"
14,9.33223,"((input_u + -0.2169398) * (input_u * (sqrt(input_u - -1.3063467) + 3.3923078))) - -0.043261353"
15,9.141095,"((input_u / ((input_u + 1.3689059) / (input_u + input_u))) * (input_u / 0.27692)) - -0.953685"
18,8.792335,"(((input_u + -3.7127693) * (sqrt(input_u * input_u) - 0.5417751)) + -0.69550467) + ((input_u * input_u) * 5.377865)"
26,8.778019,"sqrt((((input_u * ((input_u * (((input_u * (input_u / -0.22539541)) - -0.96638566) + 1.7489734)) / -2.0734048)) * (input_u + 10.526605)) - -3.0610754) + 1.6420989) - 0.997168"
28,8.744465,"sqrt(((((input_u * (input_u * (((input_u * (input_u / -0.27908236)) - 1.5090045) + 3.1152368))) / -1.7810391) * ((input_u + 10.916718) - -0.7303566)) - -4.32215) + 2.906125) - 1.681355"
