Complexity,Loss,Equation
1,619.672,"76.492805"
3,110.28568,"input_u * 20.786589"
5,2.684363,"(input_u * 5.1815343) * input_u"
7,2.137218,"input_u * ((input_u + 0.28766796) * 4.8406377)"
9,2.0571184,"-7.1106935 - ((input_u + 1.3213251) * (input_u * -4.243414))"
11,1.9113402,"(((input_u * (input_u + -5.8809385)) - -38.726826) * input_u) + -41.94113"
15,1.3802255,"((-0.10198661 / (-1.9805125 + input_u)) + (input_u * ((input_u / 0.72722894) / 0.27160826))) - -2.0640168"
17,0.382661,"(-0.19606218 / (input_u + -1.989216)) + (((((0.50123715 / input_u) + input_u) / 0.6765343) * input_u) / 0.29268977)"
19,0.3814374,"(((((0.50123715 / input_u) + input_u) / 0.6765343) * (input_u / 0.29268977)) + (-0.19606218 / (input_u + -1.989216))) + -0.16390112"
21,0.33330363,"((input_u / 0.72722894) + ((1.4373748 / 0.5835025) / (input_u * input_u))) * ((input_u / 0.27160826) + (-0.10198661 / (-1.9805125 + input_u)))"
23,0.33330163,"(((input_u / 0.72722894) + ((1.4373748 / 0.5835025) / (input_u * input_u))) * ((input_u / 0.27160826) + (-0.10198661 / (-1.9805125 + input_u)))) - 0.029431304"
24,0.3297803,"(-0.20448232 / (input_u + -1.9891374)) + ((input_u / 0.29216605) * ((input_u / 0.67292404) + ((input_u - -0.894984) / ((input_u * input_u) * sqrt(input_u)))))"
