Complexity,Loss,Equation
1,1686.1812,"41.912518"
3,93.622185,"input_u * 20.392859"
5,1.8017752,"input_u * (input_u * 5.184662)"
7,1.6395363,"((input_u * 4.97862) + 0.83363223) * input_u"
9,1.5169351,"(input_u * input_u) * ((input_u * -0.10379808) + 5.6111794)"
11,1.5168252,"(((input_u * -0.1028991) + 5.6064577) * (input_u * input_u)) - -0.016337665"
12,1.5159366,"((input_u * sqrt((input_u * -0.18464461) + 5.327488)) * input_u) / 0.41225073"
13,1.5047388,"(input_u - (input_u * (input_u * (input_u * 0.0026095095)))) * (input_u * 5.4266915)"
15,1.5023619,"((input_u - ((input_u * (input_u * 0.0028889214)) * input_u)) * 5.4949455) * (input_u + -0.030140314)"
17,1.5020905,"((input_u - (input_u * ((input_u * 0.0028889214) * input_u))) * (5.4949455 * (-0.030140314 + input_u))) + 0.020825002"
19,1.5019358,"((input_u * 5.4879556) * ((input_u + -0.028106403) - (input_u * ((input_u * 0.0027553148) * (input_u - -0.1500618))))) + 0.041824184"
20,1.3427286,"(((input_u * ((input_u * 312.40744) / -1074.4844)) * (input_u + -24.298405)) + (sqrt(input_u * input_u) * -3.0039363)) + 0.91096175"
26,1.3170363,"(((sqrt((input_u / (input_u + 4.742831)) * input_u) * (sqrt(sqrt(input_u / (input_u + (input_u * 1.2638764)))) * 22.056816)) + -3.6935003) * input_u) + 0.805438"
