Complexity,Loss,Equation
1,119.563545,"6.2277904"
3,44.366165,"input_u * 9.205541"
5,15.879478,"input_u * (input_u * 4.9437585)"
7,13.30881,"(input_u * input_u) * (input_u - -2.5952187)"
9,12.885744,"((input_u * (input_u * input_u)) * 1.9955306) + 1.031876"
11,12.80045,"((input_u * input_u) * ((input_u * 1.704147) + 0.7661373)) + 0.76031905"
15,12.784039,"(((input_u * (((input_u * input_u) * -0.035277933) + input_u)) * input_u) + 0.4571263) * 2.181916"
16,12.718862,"sqrt(9.474218 - ((input_u * -11.792706) * (input_u * (input_u * (input_u * input_u))))) + -2.069631"
17,12.712398,"((((input_u * (input_u * (14.8623295 - input_u))) * -14.005637) * input_u) / (-83.497055 - input_u)) - -0.8570927"
18,12.668333,"sqrt(((((input_u * input_u) * (input_u * (input_u * 12.233976))) * input_u) + input_u) + 10.26563) + -2.2236981"
22,12.567058,"sqrt(17.508654 - ((input_u * (((input_u * (input_u * input_u)) * (-13.599738 - (input_u * -3.2973566))) * input_u)) * input_u)) + -3.1345096"
23,12.409506,"(((input_u * (input_u * input_u)) * ((input_u / (((input_u * input_u) / 3.4365745) + -3.0930078)) + 17.590096)) * 0.1450223) + (0.9359727 - input_u)"
25,12.409505,"((((input_u * (input_u * input_u)) * ((input_u / (((input_u * input_u) / 3.4387376) + -3.0915382)) + 17.5867)) * -5.4596815) / -37.638374) + (0.9361759 - input_u)"
26,12.210983,"(input_u * ((input_u * ((input_u * input_u) + 0.77406836)) * ((input_u * (input_u * -0.27161607)) + (input_u + -0.08176648)))) + sqrt((input_u * input_u) + 0.96253616)"
