Complexity,Loss,Equation
1,199.18121,"15.556853"
3,25.74945,"input_u / 0.081634216"
5,2.2717772,"(input_u * 5.539798) * input_u"
7,2.0140238,"(input_u * 5.032775) * (input_u - -0.23685938)"
8,1.65565,"input_u * (-7.544633 - (sqrt(input_u) * -13.501548))"
10,1.4658372,"((sqrt(input_u) * -44.82486) - (input_u * -36.711597)) - -13.650713"
11,1.4026479,"(((input_u * 17.149494) - 30.353273) * sqrt(sqrt(input_u))) - -18.817493"
13,1.3812405,"(sqrt(input_u) * ((sqrt(input_u) * (input_u - -29.79075)) - 36.144096)) - -10.980916"
15,1.3740326,"(sqrt(input_u) * ((input_u + ((input_u - -26.668785) * sqrt(input_u))) - 33.189945)) - -10.165799"
28,1.180861,"((sqrt(input_u) + input_u) * (((input_u / ((1.142161 / input_u) - ((input_u * (input_u - 1.7306204)) / -1.728392))) - (input_u * (input_u / -1.2982558))) + input_u)) - input_u"
29,1.1298056,"input_u + (((input_u / (((1.5598481 / input_u) - ((((input_u * input_u) - 0.8583068) + 0.08548958) / -3.3023016)) + -0.9504445)) - ((input_u * input_u) / -1.4291553)) * (input_u + input_u))"
