Complexity,Loss,Equation
1,77.10474,"6.942935"
3,13.697087,"input_u * 9.763332"
5,1.6343954,"(input_u * 5.8030524) * input_u"
7,1.599342,"((input_u * input_u) + 0.041292552) * 5.7276487"
9,1.5985653,"(((input_u + -0.011976603) * input_u) / 0.17372607) + 0.24777894"
10,1.5763795,"sqrt(41.656487 - (input_u * 4.0392246)) * (input_u * input_u)"
12,1.5383209,"(sqrt(40.01827 - ((input_u * 1.6386527) * input_u)) * input_u) * input_u"
13,1.1949747,"(-0.10585422 - (input_u * (input_u * input_u))) * (input_u + (input_u - 6.9247313))"
15,1.1618559,"((input_u * (0.08398757 - (input_u * input_u))) * (input_u + (input_u - 6.9235387))) - -0.8244234"
17,1.1309301,"(input_u + (input_u + -6.648759)) * (((input_u / 0.874179) * (0.11956871 - (input_u * input_u))) - 0.12462877)"
21,0.77946895,"1.0799763 - (input_u * ((input_u * -16.481462) * ((input_u - 0.59148735) / ((input_u * input_u) + ((0.6517999 / input_u) / input_u)))))"
23,0.66125,"1.1366175 - ((((input_u * (input_u - 0.7767987)) * -16.717556) * input_u) / ((input_u * input_u) + (((1.1814568 / input_u) - 1.1888957) / input_u)))"
25,0.46220323,"(input_u * ((input_u * (input_u - 0.9313805)) / ((input_u * input_u) + ((((0.95085853 / input_u) - 0.9622572) / (input_u + -0.9800468)) / input_u)))) * 20.457985"
27,0.2648309,"0.770854 - (input_u * ((input_u * -19.246546) * ((input_u - 0.9102217) / ((input_u * input_u) + ((((0.94074035 / input_u) - 0.9541062) / (input_u + -0.9691279)) / input_u)))))"
29,0.23989524,"0.6501496 - ((input_u * ((input_u * -19.303364) + -0.17224373)) * ((input_u - 0.91844875) / ((input_u * input_u) + ((((0.96984273 / input_u) - 0.98379517) / (input_u + -0.9708146)) / input_u))))"
