Complexity,Loss,Equation
1,1331.7247,"53.36329"
3,130.43416,"input_u * 19.937904"
5,2.8499217,"(input_u * input_u) / 0.19250351"
7,1.9455677,"input_u * ((input_u * 4.799364) - -1.5695426)"
9,1.9414567,"(input_u * ((input_u + 0.29808563) * 4.8209004)) + 0.18018489"
10,1.9284959,"sqrt((input_u * 22.959116) * input_u) * (input_u + 0.33409068)"
11,1.9016973,"((input_u * input_u) * ((input_u * -0.11636331) + 5.6342244)) + 0.5089717"
13,1.899585,"(((((input_u * -0.09675172) + 5.4886622) * input_u) + 0.28522342) * input_u) + 0.41777983"
15,1.8995848,"input_u * ((((0.076115005 / input_u) - -0.05293991) + input_u) * ((input_u * -0.09686688) + 5.4946594))"
18,1.8859174,"(4.7408104 / (sqrt(input_u * input_u) / (input_u * (((input_u + 0.6160433) * input_u) - 0.09512496)))) - input_u"
20,1.885509,"(4.7311482 / (sqrt(input_u * input_u) / ((input_u * (input_u + 0.6943023)) * (input_u - 0.15385632)))) + (input_u * -0.5845859)"
22,1.8245554,"sqrt(((((input_u + (input_u - -3.1917546)) * input_u) * ((input_u + input_u) / 0.19198745)) * (input_u + -0.26643997)) - -1.8444484) - 0.37714618"
24,1.7928822,"sqrt(((((input_u + -0.48509428) * (((input_u + input_u) - -4.0919437) * input_u)) * ((input_u + input_u) / 0.19671948)) - (input_u + -2.474593)) - 1.0550936)"
