Complexity,Loss,Equation
1,620.1197,"73.68216"
3,114.74222,"input_u * 20.475523"
5,2.526217,"input_u * (input_u * 5.1873226)"
7,1.8668964,"((input_u * 4.822712) + 1.46871) * input_u"
9,1.8095489,"((input_u * 4.3123136) * (input_u + 1.1759332)) + -6.0943356"
11,1.7310647,"((19.074469 - ((input_u * input_u) * -0.42925042)) * input_u) + -20.739155"
12,1.6697166,"(input_u * ((input_u + sqrt(input_u - 1.9962758)) * 3.5968442)) - -5.1939745"
14,1.6697118,"((input_u * ((input_u + sqrt(input_u - 1.9962758)) * 3.5968442)) - -5.1939745) - 0.016185181"
16,1.6696565,"(((input_u * ((input_u + sqrt(input_u - 1.9962758)) * 3.5968442)) - -5.1939745) - 0.016185181) + 0.010886044"
19,1.5728426,"(((sqrt(sqrt((input_u * input_u) - (input_u + 1.9940474))) + input_u) * input_u) * 3.4920745) + (input_u + -1.4787542)"
24,1.5117958,"(((input_u * (sqrt(sqrt(((input_u * input_u) + -5.3940825) + sqrt(input_u))) + ((0.7998042 / input_u) + input_u))) - 0.2569017) * 3.4978938) + -1.1360328"
29,1.3848314,"((((((input_u / (input_u - -0.9039255)) + sqrt(sqrt(((input_u * sqrt(input_u)) + sqrt(input_u)) + -4.2425723))) + input_u) * input_u) - (input_u / 2.1479669)) * 3.579077) + -1.0975853"
