Complexity,Loss,Equation
1,1180.7617,"55.53509"
3,141.98619,"input_u * 19.72636"
5,2.9637542,"(input_u * 5.1988993) * input_u"
7,1.8889909,"((input_u * 4.787765) + 1.6177298) * input_u"
9,1.8591348,"(((input_u * 4.7022786) - -2.1394753) * input_u) + -0.70113176"
10,1.8306164,"(input_u + -0.24144417) * (sqrt(input_u) * (input_u + 7.0432367))"
14,1.830616,"sqrt(input_u) * (input_u * (((73.5761 / (input_u * -43.267994)) + 6.801769) + input_u))"
16,1.8285966,"(sqrt(input_u) * ((((94.72389 / (input_u * -43.694294)) + 6.8632827) + input_u) * input_u)) - -0.44123673"
17,1.6998916,"((input_u + 0.3094604) * input_u) * (((5.201622 / (input_u + (-1.0181514 / input_u))) / 56.350506) - -4.794222)"
19,1.6601943,"(((-2.8550937 / ((-1.0083635 / input_u) + input_u)) * -3.1736286) / 56.435314) - (input_u * ((input_u + 0.32743463) * -4.7964234))"
