Complexity,Loss,Equation
1,41.39903,"3.5829215"
3,22.99515,"input_u * 6.0309353"
5,14.603052,"(input_u * 4.1139026) * input_u"
7,13.530248,"(4.959756 / (2.6244576 - input_u)) * input_u"
9,13.022798,"(((input_u * input_u) * input_u) * input_u) + 1.2409871"
10,12.956957,"(input_u / sqrt(2.631873 - input_u)) * (input_u * 3.3840508)"
11,12.650459,"(input_u + 0.97444385) * ((input_u + 2.1855316) / (2.745712 - input_u))"
12,12.575651,"(((input_u * input_u) * 2.7730327) - -1.1860939) / sqrt(2.5487692 - input_u)"
13,12.544056,"((input_u * ((input_u / (2.8678417 - input_u)) + 0.21742271)) * 3.1347725) + 0.87548447"
15,12.544042,"(((((input_u / (2.8624349 - input_u)) + 0.54705626) * input_u) * 3.1038392) + 0.87860423) - input_u"
17,12.54404,"(input_u * 0.6914126) + (((input_u * ((input_u * 3.122197) / (2.8657398 - input_u))) + 0.38981345) - -0.4862996)"
21,12.540555,"((input_u + 2.5988216) * ((input_u * 0.3472434) + ((input_u + 0.90784734) / (2.7877889 - input_u)))) + ((input_u * -0.7929064) - input_u)"
22,12.530231,"sqrt((((input_u * (input_u * (input_u + 1.5257427))) / (2.8359625 - input_u)) - -0.14073727) * ((4.981206 / (2.7562273 - input_u)) * 2.4421265))"
