Complexity,Loss,Equation
1,119.2097,"6.210738"
3,45.188118,"input_u * 9.1178875"
5,16.970259,"(input_u * 4.899974) * input_u"
7,14.23829,"(input_u + 2.554838) * (input_u * input_u)"
9,13.662907,"((input_u * input_u) * (input_u * 1.9846246)) - -1.0061697"
11,13.620744,"((input_u * input_u) * ((input_u * 1.7801003) + 0.53697735)) - -0.81599545"
13,13.617444,"(input_u + 0.98516285) * ((-0.458963 - ((input_u + -0.5656931) * input_u)) * -1.7344971)"
15,13.617443,"((input_u + 0.9851629) * input_u) * (((-0.45896307 / input_u) - (input_u + -0.5656932)) * -1.734497)"
16,13.613858,"(input_u * ((input_u * 1.7876226) * input_u)) + sqrt(((input_u * input_u) * input_u) + 0.81697327)"
17,13.279829,"(input_u * ((((input_u * ((input_u * -0.496278) + 2.0944843)) * input_u) + -0.17133665) * input_u)) - -0.9865892"
27,13.162555,"((((((input_u * -0.8031122) + 3.1949792) * ((input_u * (input_u + -0.3354851)) * input_u)) - ((input_u * 0.5745388) + -0.23288126)) * (input_u + -0.48705208)) - -1.0820917) + input_u"
