Complexity,Loss,Equation
1,766.1754,"68.445435"
3,134.3855,"input_u * 20.141352"
5,2.7246192,"(input_u * input_u) * 5.192985"
7,1.6896766,"input_u * ((input_u * 4.777182) + 1.6565827)"
9,1.6893944,"-0.2943673 - (input_u * ((input_u * -4.749844) + -1.8415768))"
10,1.6848688,"(input_u * ((input_u - -6.635345) * sqrt(input_u))) - 2.0635004"
14,1.6848686,"(((sqrt(input_u) * (input_u - -6.6353364)) * input_u) - (input_u + 2.0634341)) + input_u"
15,1.0112926,"(((input_u * 4.8046374) + 1.2831975) * input_u) - ((0.0822851 / (input_u + -1.9913946)) - 1.0335292)"
17,0.9977754,"(((input_u * 4.804621) + 1.2831928) * input_u) - (((0.082384504 / (-1.9941994 + input_u)) - input_u) / input_u)"
19,0.94546527,"(((input_u * 4.804621) + 1.2831928) * input_u) - (((0.082384504 / (-1.9941994 + input_u)) - sqrt(input_u)) / sqrt(input_u))"
21,0.9392472,"(((input_u * 4.804621) + 1.2831928) * input_u) - (((0.082384504 / (-1.9941994 + input_u)) - sqrt(input_u - -0.40203288)) / sqrt(input_u))"
23,0.92057896,"(input_u * ((input_u * 4.813396) + 1.2853516)) - ((0.7100149 / (input_u + (0.08878532 / (input_u + -2.0461547)))) - sqrt(sqrt(input_u / input_u)))"
