Complexity,Loss,Equation
1,51.081932,"4.2031646"
3,14.57793,"input_u * 8.709282"
5,1.1394694,"(input_u * input_u) * 5.7810616"
7,1.1303232,"((-0.0438886 - input_u) * input_u) * -5.6499476"
9,1.130323,"(input_u * -5.6499476) * ((0.1326689 - input_u) + -0.1765575)"
11,1.1188667,"(-0.022676118 - (((input_u * 1.0030426) + 0.054307684) * input_u)) * -5.56"
16,0.9733926,"((input_u + sqrt(input_u * input_u)) * ((input_u + input_u) + (-0.42726582 + input_u))) + 0.6873653"
19,0.9245193,"((input_u + 3.7279174) * input_u) + ((input_u * (0.85820794 - (input_u * input_u))) * ((input_u + -5.998775) + input_u))"
21,0.884188,"(input_u * (input_u + -1.0977068)) + (((input_u * ((-0.5673583 - input_u) * input_u)) * ((input_u + input_u) + -6.9902787)) * 0.7176224)"
22,0.86059266,"sqrt(input_u + (-1.2466894 - (input_u + -1.635062))) + (input_u * (input_u * ((3.5798364 - (input_u * (input_u + -3.724885))) * 0.80888337)))"
23,0.783267,"((input_u * (input_u + 3.7279174)) + (input_u * ((0.85820794 - (input_u * input_u)) * (((input_u + -5.998775) + input_u) * 0.9272671)))) - -0.30004907"
25,0.7486385,"((input_u + ((input_u + -1.2157929) * (input_u - 0.76395583))) + ((((input_u + -6.8842773) + input_u) * (0.10430823 - (input_u * input_u))) * input_u)) * 0.93507653"
27,0.6685411,"(input_u + 0.77994215) + (((input_u + -6.7662315) + input_u) * (input_u * (((input_u + 0.123718366) * -2.0503964) + (input_u + (input_u + (0.5650213 - (input_u * input_u)))))))"
