Complexity,Loss,Equation
1,601.49426,"27.908123"
3,190.74255,"input_u * 14.151532"
5,41.86806,"-34.356228 - (input_u * -27.327927)"
7,25.232878,"-8.103795 - ((input_u * -6.0620017) * input_u)"
8,23.766735,"((sqrt(input_u) * 23.941616) + -25.901392) * input_u"
10,22.81397,"((-45.06607 - (input_u * -19.248955)) * sqrt(input_u)) - -24.714052"
11,19.610199,"(input_u - 0.97262573) * (((-35.880547 / input_u) - -25.151882) * 1.7856139)"
13,17.839542,"((((9.382688 - (5.132116 / input_u)) * -9.861268) / input_u) - -41.112495) * input_u"
15,15.249447,"(((input_u + -1.4069498) * (5.324534 - input_u)) * ((input_u * 6.603124) - 6.4440627)) + 0.54386896"
16,15.238258,"((5.749944 - input_u) * ((input_u + -0.97203416) * (7.198758 - sqrt(input_u)))) * (input_u + -1.3805747)"
20,15.21252,"((5.371571 - input_u) * ((sqrt(input_u) + ((input_u + -1.9769057) + ((input_u * -1.0324423) * input_u))) + input_u)) * -5.961009"
22,14.990888,"(((((sqrt(9.811599 - input_u) * (input_u * 2.3418434)) - 7.666839) * (input_u + -1.2479765)) * (5.80766 - input_u)) - input_u) - -0.43778005"
