Complexity,Loss,Equation
1,51.08193,"4.203006"
3,14.577929,"input_u * 8.709771"
5,1.1394694,"(input_u * input_u) / 0.17297864"
7,1.130386,"(input_u * (input_u + 0.045400646)) / 0.17728755"
9,1.1303239,"(((input_u * 3.129361) / 0.55390894) - -0.24753082) * input_u"
11,1.1188666,"(input_u * (((input_u * 5.576957) + 0.6661788) - 0.36428767)) - -0.12605152"
13,1.1135333,"(((input_u * 5.5744114) * (input_u + 0.056149185)) - -0.11757384) + (-0.0028237803 / input_u)"
15,1.1096516,"((((input_u * ((input_u / 5.0590963) + 5.1319604)) - 0.6308035) * input_u) + 0.21316211) + input_u"
17,1.1049935,"(0.22581252 - ((-0.39954144 - (((input_u / 4.006174) + 5.012376) * input_u)) * input_u)) + (-0.0025595059 / input_u)"
18,0.9644543,"input_u - ((input_u + ((2.1126225 - sqrt(((input_u + input_u) / 0.045636524) * input_u)) * input_u)) - 0.9454831)"
19,0.7823936,"((((input_u * (2.710377 - input_u)) + input_u) * (input_u + 0.20469414)) * ((input_u + input_u) * 0.752479)) - -0.79205257"
27,0.67303336,"(1.011108 - (input_u * (0.23587677 / input_u))) + ((((input_u + input_u) * (input_u + 0.15073931)) * ((((2.4993622 - input_u) * input_u) + input_u) * 0.9643194)) - input_u)"
28,0.6563891,"((input_u + ((input_u + sqrt(input_u * input_u)) - input_u)) * (((((input_u + input_u) * (3.3746026 - input_u)) * (input_u + 0.16782776)) - 1.6665827) * 0.5599681)) - -0.8933312"
