Complexity,Loss,Equation
1,951.14294,"66.75755"
3,167.715,"input_u * 20.120068"
5,10.179574,"(input_u * input_u) / 0.19301467"
7,9.623821,"((input_u * input_u) + -0.3170599) / 0.18911618"
8,7.0564632,"sqrt(input_u) * ((input_u / 0.07137698) + -14.625984)"
10,6.4977427,"((input_u / 0.2918889) - 3.796206) * (sqrt(input_u) * 4.216121)"
12,6.4896483,"((sqrt(input_u) / 0.23669033) * ((input_u / 0.3015996) - 2.9597638)) + -3.5673301"
14,6.4887075,"((((input_u / 0.3015996) - 2.9597638) * (sqrt(input_u) / 0.23669033)) + -3.5673301) + 0.05927084"
15,5.8941326,"((((input_u + (input_u - -23.070478)) * input_u) + (23.457296 / input_u)) - 50.41256) + input_u"
17,5.8941307,"((((input_u * input_u) + (input_u * (input_u - -23.070478))) + (23.457296 / input_u)) + input_u) - 50.41256"
18,5.8882732,"(23.833818 / input_u) + (((((input_u - -23.830908) * input_u) + (input_u * input_u)) + sqrt(input_u)) - 51.54598)"
20,5.80841,"((((input_u * input_u) + 32.485405) / input_u) - 64.0866) + ((input_u * (sqrt(input_u) + 27.967258)) + (input_u * input_u))"
26,5.7087083,"((((input_u - 2.4425862) + 0.09345608) * ((input_u + (input_u - (8.900955 / (input_u * sqrt(input_u))))) + -47.192074)) + 0.07958527) + ((input_u * 74.66984) - 148.43578)"
