Complexity,Loss,Equation
1,51.08193,"4.203006"
3,14.577929,"input_u * 8.709724"
5,1.1394694,"(input_u * 5.7810264) * input_u"
7,1.130323,"(input_u + 0.04389723) * (input_u * 5.6499314)"
9,1.1188667,"((input_u + 0.054204524) * (5.576742 * input_u)) + 0.12590282"
11,1.1188663,"((((input_u + input_u) + 0.10828228) * input_u) + 0.045213114) * 2.7884626"
12,1.10143,"(input_u * (input_u * 4.7925873)) + (input_u * sqrt(input_u * input_u))"
14,1.096138,"(input_u * (-0.18823963 - (input_u * -4.892099))) + (input_u * sqrt(input_u * input_u))"
16,0.9636944,"((((input_u + 0.33188814) - (input_u + sqrt(input_u * input_u))) / -0.14976712) * input_u) + 0.9430758"
17,0.80086464,"(input_u * (((input_u * (input_u - 3.2613637)) + (0.44574422 - input_u)) * (-0.8089243 - input_u))) + 0.504149"
19,0.6685411,"(((((input_u + input_u) + 2.2863114) * (4.1180096 - input_u)) + -6.3221827) * (input_u * (input_u - 0.3578266))) + 0.7798986"
20,0.569957,"((sqrt((input_u * (input_u - 1.021491)) + 0.51922655) * (5.1351566 - input_u)) * ((input_u + input_u) + 2.0756006)) + -6.5062156"
22,0.5676016,"((sqrt(((input_u * (input_u - 0.034391165)) + 0.5676203) - input_u) * (5.1536074 - input_u)) * ((input_u + input_u) + 2.1860752)) + -7.3486686"
24,0.56107634,"(input_u + -0.8180782) + (((5.639679 - (input_u * (input_u - 3.7847393))) * (sqrt(((input_u - 1.0867817) * input_u) + 0.5580516) * 2.0300407)) + -6.594505)"
30,0.5511719,"(((sqrt((input_u * (input_u - 0.029543424)) + (0.4148187 - input_u)) * 4.803196) - ((((input_u + 0.026968509) * input_u) + 0.82155776) - input_u)) * ((input_u + input_u) + 1.9110569)) + -3.0550287"
