Complexity,Loss,Equation
1,1500.9811,"36.62422"
3,159.86487,"input_u * 19.403435"
5,10.180256,"input_u * (input_u * 5.1776085)"
7,9.999864,"5.3588676 * ((input_u - 0.13360058) * input_u)"
9,9.961543,"((input_u * 5.336338) * (input_u - 0.102278545)) - 0.30513504"
12,9.857153,"input_u * (-3.0201175 + (sqrt(5.188863 - input_u) - (input_u * -5.6589904)))"
13,9.566214,"(((input_u * ((input_u * -0.22717272) + 5.744874)) + -2.5510647) + input_u) * input_u"
18,9.0921135,"input_u * (sqrt((input_u * ((input_u + 3.343643) * (-0.28593758 - (input_u + -8.878992)))) * input_u) - 2.3439107)"
20,8.768743,"(input_u * (sqrt(((input_u * (input_u + -8.068565)) * input_u) * (-7.1861696 - (input_u + -1.3276138))) - 4.498746)) + 0.5467392"
24,8.66499,"((input_u + -1.0264416) + (input_u - -0.3428054)) * ((sqrt(input_u * (((1.8610841 - (input_u + -7.399374)) * input_u) * 2.301756)) - 0.7697365) + -1.7052819)"
26,8.622343,"(((sqrt(((input_u * input_u) * 1.9905146) * (2.0459719 - (input_u + -7.7336593))) - 0.6787489) + -1.6131731) * (input_u + ((input_u + -0.9528565) - -0.3628501))) - -0.19448374"
28,8.582174,"((input_u + ((input_u + -1.0034173) - -0.31292826)) * ((sqrt((((input_u * input_u) * 2.3023353) * (1.7457861 - (input_u + -7.596306))) - -1.8117054) - 0.869587) + -1.8032682)) - -0.36544582"
