Complexity,Loss,Equation
1,1165.3538,"62.098797"
3,206.90364,"input_u * 19.896957"
5,16.699995,"(input_u * 5.172529) * input_u"
7,13.56754,"((input_u * 5.4239593) * input_u) + -3.868291"
8,9.6479645,"sqrt(input_u) * ((input_u * 14.686557) - 16.991283)"
9,7.527529,"(input_u * 40.498455) + ((49.06752 / input_u) + -90.1196)"
11,7.527528,"(((49.067753 / input_u) + -90.11983) + input_u) + (input_u * 39.498497)"
12,7.5264807,"((sqrt(input_u) + -91.24086) + (49.432587 / input_u)) + (input_u * 40.256596)"
14,7.5264797,"((((input_u * 40.256405) + (49.43154 / input_u)) + sqrt(input_u)) + -109.44499) - -18.205132"
19,7.513609,"(input_u + (((107.09682 / ((input_u * input_u) * (input_u + 1.8918163))) + 39.06781) * input_u)) + (-76.63255 - input_u)"
21,7.5136056,"(((input_u + (((107.13668 / ((input_u * (input_u + 1.8925227)) * input_u)) + 39.06921) * input_u)) + -1.1235278) - input_u) + -75.51514"
26,7.462294,"((((input_u * ((36.4307 / sqrt(input_u)) / input_u)) + ((input_u * 0.7379296) + 26.975143)) * input_u) + ((54.291237 / input_u) + (-119.79566 - input_u))) - -1.7365248"
30,7.3136225,"((input_u + (((25.3438 / (input_u * input_u)) + -136.5943) + input_u)) - -49.147396) + ((((((input_u * 50.53313) / sqrt(input_u)) / input_u) + (input_u * 2.2279174)) + 6.265102) * input_u)"
