Complexity,Loss,Equation
1,951.14294,"66.75756"
3,167.715,"input_u * 20.119974"
5,10.179575,"(input_u * 5.1809936) * input_u"
7,9.619486,"((input_u * input_u) * 5.298978) + -1.8328294"
8,6.495786,"((input_u + -1.1023833) * sqrt(input_u)) * 14.417077"
12,6.4957857,"sqrt(input_u) * ((((input_u + input_u) * 6.70852) + input_u) - 15.8930025)"
13,6.2293997,"((((input_u + -4.321297) + input_u) - (-2.2209187 / input_u)) / 0.32126194) * 6.362022"
14,6.1026917,"input_u + (((122.0001 / input_u) - 117.05419) * ((input_u - sqrt(input_u)) * -0.46174103))"
17,6.0059385,"(((input_u - 1.0600452) * ((input_u + (input_u * 4.312278)) + -5.659489)) / (input_u - -0.18897258)) * 7.688354"
21,5.9733095,"(input_u + -47.608215) + ((input_u * (input_u - -27.852652)) + (((2.0031269 / (input_u * (input_u * -0.22911659))) * -1.8426027) / input_u))"
24,5.8332825,"(((((((-1.6871091 / input_u) + input_u) * input_u) / sqrt(0.21597987 / (-1.8504701 + (2.3317487 * input_u)))) / 0.2536792) + 2.3317487) / input_u) - -0.055800926"
26,5.83213,"((((((input_u + (-1.6871091 / input_u)) * (input_u / sqrt(0.21597987 / (-1.8504701 + (2.3317487 * input_u))))) / 0.2536792) + 2.3317487) / input_u) - -0.034634493) - -0.0505466"
28,5.832114,"((((2.3317487 + (((-1.6871091 / input_u) + input_u) * ((input_u / sqrt(0.21597987 / (-1.8504701 + (2.3317487 * input_u)))) / 0.2536792))) / input_u) - -0.034634493) - -0.0505466) - -0.0019275879"
30,5.769141,"(((input_u * input_u) * ((((input_u + (-2.171601 / input_u)) / sqrt(0.16511285 / ((input_u + input_u) - 1.5897864))) / (input_u + (0.2728488 - input_u))) + 4.726636)) / input_u) / input_u"
