Complexity,Loss,Equation
1,51.081932,"4.2026057"
3,14.577929,"input_u * 8.709748"
5,1.1394694,"(input_u / 0.17298049) * input_u"
7,1.130323,"input_u * ((input_u * 5.649864) + 0.24812423)"
9,1.1188666,"(((input_u + 0.054169487) * input_u) * 5.5768614) + 0.12603058"
13,1.1188664,"((input_u * ((input_u + 0.46689668) + input_u)) * 2.788466) + (0.12607326 - input_u)"
14,1.1163626,"((((sqrt(input_u * input_u) + input_u) + input_u) * input_u) * 2.11186) - input_u"
15,1.0777597,"(input_u - 0.051463086) * ((input_u * 5.995576) - (input_u / ((input_u / 0.09357355) - -5.573325)))"
16,1.0150163,"(((sqrt(input_u * input_u) + input_u) * ((input_u + input_u) + input_u)) + 0.6013438) - input_u"
17,0.8819923,"((input_u * input_u) - -0.13266754) * ((((input_u * -1.0151255) + 2.781926) * (input_u * input_u)) + 2.8056118)"
19,0.7536257,"((input_u + (((input_u * input_u) * (input_u * -0.49156278)) + (input_u * 3.8377802))) * (input_u * input_u)) - -0.9341085"
23,0.66321486,"(input_u * (((input_u * (((input_u * input_u) * -0.84338075) + ((input_u - 0.07029449) * 2.8049934))) * 2.6289256) + (input_u + -1.2385801))) - -0.8489649"
25,0.6629926,"((-1.2981244 + ((input_u * (((((input_u - 0.35484025) * input_u) * -0.8864634) + ((input_u - 0.08182626) * 2.6274765)) * 2.540791)) + input_u)) * input_u) - -0.8490795"
27,0.66299146,"(input_u * ((((input_u * 2.6046646) * (((input_u - 0.2211781) * 2.691978) + ((input_u * -0.864749) * (input_u - 0.20642167)))) + (input_u + -1.2952987)) + input_u)) - -0.84950995"
29,0.65437144,"(((((input_u * (((((input_u * (input_u - 1.4049362)) * -0.08890287) + ((input_u * 0.7046436) - 1.9344302)) * input_u) * -4.2576404)) + -0.39785415) + input_u) * input_u) - input_u) - -0.8053266"
