Complexity,Loss,Equation
1,746.50604,"73.57062"
3,134.38423,"input_u * 20.638355"
4,134.38422,"input_u * sqrt(425.94363)"
5,3.6862514,"input_u * (input_u / 0.19297507)"
7,3.049859,"(input_u * 4.849105) * (input_u - -0.28018963)"
9,2.9307828,"(((input_u * 4.066041) + 6.763418) * input_u) + -8.867784"
11,2.7193737,"((((input_u + -5.902976) * input_u) + 38.858307) * input_u) + -42.10106"
13,2.490174,"(input_u / (sqrt(sqrt(-5.393833 - (input_u * -2.7625084))) - 2.358353)) / -0.059115965"
15,2.4407172,"((input_u / (sqrt(sqrt(-5.6191573 - (input_u * -2.8174324))) - 2.2416482)) / -0.07310266) + 4.415677"
17,1.5764401,"((input_u / (sqrt(sqrt(input_u)) - 1.788007)) / -0.12656644) - ((1.7749113 - input_u) / (1.990578 - input_u))"
18,0.9241346,"((input_u / (sqrt(sqrt(input_u)) - 1.7963456)) / -0.12337728) - sqrt(input_u - (input_u / (1.9919387 - input_u)))"
19,0.4448782,"((input_u / (sqrt(sqrt(input_u)) - 1.788007)) / -0.1265666) + (-0.9629613 - ((1.7749113 - input_u) / (1.9905174 - input_u)))"
21,0.43473336,"(((input_u / (sqrt(sqrt(input_u)) - 1.788007)) / -0.12656644) + -0.7895057) - (((1.7749113 - input_u) / (1.990578 - input_u)) + 0.29058942)"
22,0.39747724,"(((input_u / (sqrt(sqrt(input_u)) - 1.788007)) / -0.12656644) + 0.816439) - (((1.7749113 - input_u) / (1.990578 - input_u)) + sqrt(input_u))"
23,0.39705247,"(((input_u / (sqrt(sqrt(input_u)) - 1.788007)) / -0.12656644) + sqrt(0.70749104)) - (((1.7749113 - input_u) / (1.990578 - input_u)) + sqrt(input_u))"
25,0.39703947,"((((input_u / (sqrt(sqrt(input_u)) - 1.788007)) / -0.12656644) + sqrt(0.86864364)) - (((1.7749113 - input_u) / (1.990578 - input_u)) + sqrt(input_u))) + -0.09543785"
28,0.39130947,"((1.6256866 / 1.9911919) - (((1.9911919 - (input_u - (-0.33299032 * 0.6176117))) / (1.9911919 - input_u)) + sqrt(input_u))) + ((input_u / (sqrt(sqrt(input_u)) - 1.7880063)) / -0.12656267)"
