Complexity,Loss,Equation
1,902.5595,"31.477697"
3,200.72063,"input_u * 16.171017"
5,32.651913,"input_u * (input_u * 5.154463)"
7,22.582493,"((0.7820687 - input_u) * input_u) * -6.702195"
8,21.121674,"input_u * ((sqrt(input_u) * 21.511183) - 21.915913)"
10,16.967892,"((input_u * 71.48243) + (sqrt(input_u) * -128.98361)) + 55.771397"
12,16.96789,"((83.03527 - (sqrt(input_u) * 128.9791)) + (input_u * 71.48198)) + -27.268185"
13,14.383977,"(((input_u * (input_u + -9.179476)) + 14.049648) * (input_u * -2.5616245)) + 13.614304"
19,7.591728,"((input_u * input_u) * (input_u * input_u)) / (((input_u * -1.9301946) * (input_u / (1.121732 - input_u))) + -7.6116457)"
21,6.235238,"((input_u * input_u) / ((((input_u / (1.0803512 - input_u)) * input_u) * -1.8332261) + -7.331198)) * ((input_u * input_u) + -2.0558867)"
23,5.518242,"(((input_u * input_u) * input_u) * (input_u * input_u)) / ((((input_u * input_u) / -1.0664066) * (input_u / (1.4624888 - input_u))) + -11.415217)"
25,4.2816157,"(input_u * ((input_u * ((input_u * input_u) * input_u)) - 9.482798)) / (((input_u / -1.0790417) * (input_u * (input_u / (1.3915448 - input_u)))) + -11.031475)"
27,3.3956332,"(((((input_u * (input_u * input_u)) - 6.9425855) * input_u) / ((((input_u * (input_u * input_u)) / (1.3664926 - input_u)) / -0.9224057) + -13.088367)) + input_u) * input_u"
29,3.2940724,"((((input_u * ((input_u * (input_u * input_u)) - 7.2303987)) / (((input_u / -0.9112749) * ((input_u * input_u) / (1.3644899 - input_u))) + -13.276275)) + input_u) * input_u) + 0.7789568"
30,3.2203493,"((((((sqrt(input_u) * input_u) * input_u) - 5.1808586) * input_u) / ((((input_u * input_u) * (input_u / (1.3477489 - input_u))) / -0.90623486) + -12.861211)) + input_u) * (input_u * 1.764397)"
