Complexity,Loss,Equation
1,916.6229,"64.4762"
3,141.21426,"input_u * 20.017174"
5,3.0196664,"input_u * (input_u * 5.1949353)"
7,1.5987161,"((input_u * input_u) * 5.017366) - -2.7102613"
9,1.5978485,"(((input_u + 0.04439184) * input_u) * 4.9822583) - -2.3963177"
11,1.5978472,"((input_u * input_u) * 4.9832525) - ((input_u * -0.21489894) - 2.4054)"
12,1.5973152,"(1.7710211 / sqrt(input_u)) + (input_u + (input_u * (input_u / 0.20487788)))"
15,1.5908681,"input_u + (((input_u * input_u) / 0.2050514) + ((1.21863 / (input_u * input_u)) + 0.8777034))"
16,1.5899103,"(input_u + ((input_u * input_u) / 0.20500247)) + (sqrt(0.79180145) + (1.2064934 / (input_u * input_u)))"
18,1.589613,"(input_u + ((input_u * input_u) / 0.20500247)) + (sqrt(0.79180145) + (1.2064934 / (input_u * (input_u * 0.88443464))))"
19,1.5886856,"input_u + ((((input_u * input_u) / 0.20500247) + 0.82105255) + (input_u / (input_u * ((input_u + input_u) - 1.4338255))))"
25,1.5876715,"(input_u + ((input_u * input_u) / 0.20509484)) + ((0.7768 / ((input_u * (((0.97664154 / input_u) * input_u) * (input_u * input_u))) / 2.2639077)) + 0.93738544)"
