Complexity,Loss,Equation
1,1154.6263,"46.010784"
3,212.92084,"input_u * 18.358868"
5,21.184574,"(input_u * input_u) / 0.19303973"
7,18.112772,"((input_u * input_u) * 5.4123244) - 3.09583"
9,17.882732,"((input_u * (input_u + 0.40285027)) / 0.19894995) - 5.170701"
10,12.62684,"(sqrt(input_u) * -121.967155) + ((input_u * 68.98932) - -51.788876)"
12,12.613217,"((input_u * 73.22857) + ((-127.565765 - input_u) * sqrt(input_u))) - -54.029377"
18,12.531279,"((((sqrt(input_u) * -134.49475) + input_u) + ((input_u * 72.38564) + (-2.446159 / input_u))) - -63.91275) - input_u"
19,12.247211,"(((sqrt(input_u) - ((input_u * 20.770468) + ((-91.06378 - input_u) * sqrt(input_u)))) + -92.915695) * input_u) + 19.548834"
26,12.179221,"(input_u + -0.60576093) * ((((((input_u * -18.108517) + (sqrt(input_u) * 82.991135)) - 38.60941) - (-5.9905477 / input_u)) - input_u) + (input_u + (input_u + -35.648888)))"
