Complexity,Loss,Equation
1,380.53207,"10.673356"
3,89.70454,"input_u * 13.414891"
5,16.820347,"(input_u * input_u) * 5.114043"
7,12.743016,"input_u * ((input_u - -1.994251) * input_u)"
9,12.532246,"((input_u + -0.36140597) * (input_u + 2.677757)) * input_u"
10,11.305373,"input_u * ((sqrt(input_u * input_u) * 6.9992137) + -5.636118)"
12,10.713028,"((sqrt(input_u * input_u) + -0.54332346) * 7.4855504) * (input_u + -0.50231135)"
13,9.870832,"input_u * (input_u * ((((input_u * -0.8817441) + 5.7214985) * input_u) - 3.9109883))"
14,9.680352,"(input_u * input_u) * ((sqrt((input_u * -3.0791743) + 14.901874) * input_u) - 1.828373)"
15,8.841724,"((((input_u * -0.8817441) + 5.7214985) * input_u) - 3.9109883) * ((input_u * input_u) - 0.16935442)"
17,7.970875,"(input_u * ((((((input_u * -1.2338761) + 7.6070385) * input_u) - 5.6704245) * input_u) - 2.4334838)) - -1.7265041"
25,7.9004707,"(((((input_u * ((-2.6615255 / input_u) - 0.9824877)) * (input_u + -4.3072405)) + 1.5440866) * 0.37617922) * ((input_u * input_u) * (input_u + -1.3730526))) + 1.9062552"
27,7.637957,"(((input_u * 0.8489674) * input_u) * (((((input_u + -2.4809473) * (((-2.2049627 / input_u) - -0.67125696) * input_u)) + -1.8361366) * (input_u + 2.022791)) * -0.65254515)) + 1.4839392"
