Complexity,Loss,Equation
1,600.1049,"23.464865"
3,165.85902,"input_u * 14.034864"
5,37.963345,"(input_u * input_u) * 5.116871"
7,23.122892,"((input_u + -0.9401131) * input_u) * 7.44293"
9,22.802479,"(input_u + -0.30633283) * ((input_u * 7.9324656) + -6.7826624)"
10,19.647165,"26.177406 - (((input_u + -2.38884) * -19.334297) * sqrt(input_u))"
11,19.400091,"6.469416 - ((input_u + -12.377168) * ((input_u + -1.5694745) * input_u))"
13,15.255442,"(input_u + -5.3243346) * (-1.3068084 - (((input_u * input_u) + -2.444999) * input_u))"
15,14.67574,"3.5909965 - (((input_u + (input_u + -3.0738347)) * (input_u * input_u)) * (input_u + -4.7651453))"
18,14.46707,"((-0.23927315 - ((input_u + -1.537639) * (input_u * input_u))) * ((sqrt(input_u) + -2.2260337) * 7.2579455)) - -1.8336896"
20,14.377889,"(((sqrt(input_u) + -2.2096577) * (((-0.45769912 - (input_u * (input_u + -1.7936784))) * input_u) * 8.084674)) - -0.7701448) + 1.9932443"
22,14.372533,"(((((-0.657024 - ((input_u + -1.7917691) * input_u)) * input_u) * ((sqrt(input_u) + -2.220295) * 8.143294)) + -0.3287116) - input_u) + 2.1984575"
25,14.035399,"((input_u + -5.537325) * -0.314789) * ((((((input_u - ((input_u + -2.7924862) * (input_u + -4.4677725))) + input_u) * input_u) * input_u) - -2.6236172) + input_u)"
