Complexity,Loss,Equation
1,596.20746,"77.363144"
3,104.34821,"input_u * 20.853453"
5,2.6332233,"input_u * (input_u / 0.19303097)"
7,2.1354728,"(input_u * (input_u + 0.28308603)) * 4.8454514"
9,2.0594282,"((input_u + 1.2886331) * (input_u * 4.26034)) - 6.9287543"
10,1.9677453,"(sqrt(input_u + -1.9242461) + (input_u * input_u)) / 0.21003634"
12,1.8690655,"((sqrt(input_u + -1.9959575) + (input_u * input_u)) / 0.21085376) - -0.41987598"
13,0.49850312,"(-0.30031398 / (input_u + -1.9831014)) + (((input_u / 0.22206284) + 2.8452387) * input_u)"
14,0.15174398,"(((input_u / 0.20242245) + (-0.53493214 / sqrt(input_u + -1.9976943))) * input_u) + 5.513113"
16,0.15174383,"((((input_u / 0.20242245) + (-0.53493214 / sqrt(input_u + -1.9976943))) * input_u) + -0.030932428) + 5.5440454"
17,0.048256904,"((input_u + (-1.3462142 / (19.608643 * (-1.996786 + input_u)))) + ((input_u * input_u) / 0.20753925)) - -1.996786"
19,0.012080716,"((-0.95664716 / (((input_u + -1.9644742) * 20.283642) + -0.6755536)) + ((input_u * (input_u / 0.2026993)) + 3.274335)) * 1.0099368"
25,0.012033359,"((-1.4646158 / ((((((input_u * input_u) - input_u) * input_u) - input_u) + -1.9915066) * 8.250956)) + input_u) + ((input_u * (input_u / 0.20618783)) + 1.4543827)"
27,0.011958903,"((-0.004164007 + -1.4646158) / (((-1.9915066 + (((input_u * input_u) - input_u) * input_u)) - input_u) * 8.250956)) + ((input_u * (input_u / 0.20618783)) + (input_u + 1.4585466))"
30,0.009049804,"((-1.4646158 / (((input_u / (((input_u * input_u) - input_u) - (input_u / input_u))) + -1.991456) * 8.250956)) + (sqrt(input_u) + ((input_u / 0.20618811) * (input_u + -0.031606566)))) + input_u"
