Complexity,Loss,Equation
1,1058.5762,"22.982092"
3,98.12282,"input_u * 18.536604"
5,1.5729486,"input_u * (input_u / 0.19170952)"
7,1.0102378,"((input_u * 4.8595967) + 1.3565205) * input_u"
9,0.9309269,"((input_u * -0.17009765) + 5.8857946) * (input_u * input_u)"
11,0.91674685,"(((input_u * -0.15743202) + 5.8239098) * (input_u * input_u)) + 0.16176794"
13,0.8822362,"(input_u - -0.23408026) + (input_u * (input_u * ((input_u * -0.060300644) + 5.1732993)))"
15,0.8676247,"(((((input_u * -0.09457259) + 5.4028907) * input_u) * input_u) + (input_u * 0.6469956)) - -0.20872071"
16,0.8640398,"((sqrt(input_u * input_u) * -5.7993374) * (-0.5544249 - input_u)) + ((-1.6308861 - input_u) * input_u)"
18,0.86401016,"(((-1.6404368 - input_u) * input_u) - 0.012747118) - ((-0.5583629 - input_u) * (5.797108 * sqrt(input_u * input_u)))"
20,0.86401004,"(((input_u * (-1.6402477 - input_u)) - -0.6765597) - (sqrt(input_u * input_u) * ((-0.5583001 - input_u) * 5.7971478))) + -0.6892304"
22,0.60472167,"(-1.7642354 - (input_u * -2.7452903)) - (((sqrt((input_u * input_u) + (0.32792377 - input_u)) * 4.293191) * (-1.1657654 - input_u)) + input_u)"
