Complexity,Loss,Equation
1,51.08194,"4.2032332"
3,14.577929,"input_u * 8.709748"
5,1.1394695,"(input_u * input_u) * 5.780765"
7,1.1303228,"(input_u * (input_u + 0.04389223)) * 5.649942"
9,1.1188664,"(((input_u - -0.05414111) * input_u) * 5.576917) + 0.12598568"
14,1.1057438,"(input_u + input_u) * (((input_u + input_u) + -0.21178441) + sqrt(input_u * input_u))"
16,0.97339255,"(((input_u + (input_u + input_u)) + -0.42725182) * (input_u + sqrt(input_u * input_u))) + 0.68732697"
17,0.6147401,"(input_u * input_u) * ((input_u / ((input_u - 0.9822485) + (0.038896848 / (input_u - 0.958258)))) + 3.563655)"
19,0.2551283,"((input_u * ((input_u / ((0.022015471 / (input_u - 0.9926183)) + (input_u - 0.9454351))) + 3.740241)) * input_u) - -0.4754937"
21,0.18384776,"(input_u + ((input_u * ((input_u / ((0.022872675 / (input_u - 1.0057676)) + (input_u - 0.89031476))) + 3.3214924)) * input_u)) + 0.6049639"
23,0.16450363,"(input_u * ((input_u / ((0.022514082 / (input_u - 0.9972869)) + (input_u - 1.0093323))) + (((input_u + 3.452317) - 0.94295067) * input_u))) + 0.7833579"
25,0.119883835,"((input_u * ((input_u / ((0.021678066 / (input_u - 1.0091969)) + (input_u - 0.9522958))) + (((input_u + 3.2094316) - 1.1858441) * input_u))) + 0.95441645) + input_u"
27,0.11835569,"((input_u * (((input_u - 1.0041231) + ((input_u / (input_u + ((0.016399268 / (input_u - 0.9957295)) - 0.96665895))) + 2.5095408)) * (input_u / 1.090457))) - -0.88159204) + input_u"
28,0.1175856,"(input_u * ((input_u / (input_u + ((0.021678066 / (input_u - 1.0091969)) - 0.9522958))) + ((input_u + (3.2094316 - 1.1858441)) * (0.140033 + input_u)))) + sqrt(input_u + 0.95441645)"
29,0.1104071,"(((((((input_u - (input_u / input_u)) + (input_u / ((input_u + (0.017765388 / (input_u - 0.99085987))) - 0.98304397))) + 2.4871325) * input_u) - -0.7582077) * input_u) + 0.91427237) / 1.0575715"
