Complexity,Loss,Equation
1,0.89177626,"1.1308286"
3,0.71191704,"input_u + 1.019789"
5,0.70256823,"(input_u * 0.818153) - -1.0399967"
7,0.70109236,"(-3.5948458 / (-3.5031886 - input_u)) + input_u"
8,0.6924145,"(input_u * sqrt(input_u * input_u)) + 0.9853832"
9,0.6650012,"((0.7314984 / (input_u + -1.0860168)) / -24.765675) + 1.0811703"
11,0.5710706,"input_u + (((input_u / (input_u + -1.091693)) / -27.198496) - -0.9817189)"
12,0.56693417,"((input_u / (input_u + -1.0903709)) / -24.771057) + sqrt(input_u + 1.2428942)"
14,0.55864716,"((1.0364164 / (input_u + -1.0903709)) / -24.771057) + (sqrt(input_u + 1.056135) - 0.018376773)"
15,0.54169273,"input_u + ((((0.8597242 / (-1.0903709 + input_u)) + -24.771057) / -24.771057) - (0.32323417 * input_u))"
16,0.5405045,"input_u + ((((sqrt(0.8597242) / (-1.0903709 + input_u)) + -24.771057) / -24.771057) - (0.32323417 * input_u))"
19,0.48588952,"0.909266 + (0.36250234 / ((input_u * (((input_u + (input_u * (input_u - 2.569998))) / 0.06482572) - 1.0906755)) + 10.088649))"
20,0.4734646,"sqrt((input_u / ((10.088649 - 1.1897507) + ((input_u * (input_u + ((input_u - 2.569998) * input_u))) / 0.06482572))) + 0.909266)"
22,0.4731077,"sqrt((input_u / ((10.088649 - 1.1897507) + ((input_u * (input_u + ((input_u - 2.569998) * input_u))) / 0.06482572))) + 0.909266) / 0.9904918"
