Complexity,Loss,Equation
1,0.9789271,"1.0967687"
3,0.7374236,"input_u + 1.0919276"
5,0.2861431,"-0.76950896 / (input_u + -1.1654438)"
6,0.24071589,"sqrt(-0.9955964 / (input_u + -1.0916761))"
7,0.18966387,"(-0.42312863 / (input_u + -1.1258018)) + 0.50840473"
9,0.18955949,"((-0.76309514 / (input_u + -1.1250815)) * 0.5528335) - -0.51016486"
13,0.18931364,"(input_u + ((input_u + -0.7648109) / ((1.1230836 - input_u) / input_u))) + 0.88682467"
21,0.16109927,"(input_u + ((((input_u + -0.4835861) * (input_u / 0.5862885)) + -0.646092) / ((1.1043379 / (input_u / 0.7832226)) + -0.73815227))) + 1.1096591"
23,0.14380327,"(((((input_u + input_u) * (input_u + -0.5193679)) + -0.69681084) / ((0.9209698 / (input_u * (input_u / 0.49676257))) + -0.32667682)) + 1.0858049) + input_u"
27,0.14372405,"((input_u / input_u) + input_u) + (input_u * (((input_u * ((input_u + input_u) + -0.41867432)) + -1.1930869) / ((0.93974763 / (input_u * (input_u / 0.5058086))) + -0.320618)))"
28,0.14082004,"sqrt((input_u / input_u) + input_u) + (input_u * ((((input_u + input_u) * (input_u + -0.41867432)) + -0.75196594) / ((0.93974763 / (input_u * (input_u / 0.5058086))) + -0.320618)))"
29,0.13527401,"(input_u * (((((input_u + input_u) * (input_u + -0.40223858)) + -0.8523704) / ((0.8125219 / (input_u * (input_u / 0.54131603))) + -0.29572788)) + -0.24289937)) + ((input_u / input_u) + input_u)"
