Complexity,Loss,Equation
1,1257.5494,"52.347054"
3,231.35945,"input_u * 19.20506"
5,17.565178,"input_u * (input_u * 5.177909)"
7,16.624882,"((input_u * 5.300224) * input_u) - 1.7781727"
8,14.900496,"((input_u * 13.972476) - 14.08712) * sqrt(input_u)"
10,14.391932,"((input_u * 71.46068) - (sqrt(input_u) * 132.82388)) + 63.699234"
12,14.391929,"(((input_u * 71.45642) + 54.821297) - (sqrt(input_u) * 132.81068)) + 8.868387"
13,14.311196,"((input_u - 1.7616712) * ((input_u + 11.309404) / 0.44014984)) + (23.494095 / input_u)"
20,14.302807,"(((input_u + 8.4514885) * 2.7119136) * (input_u - 1.6820691)) + (((2.6577344 / sqrt(input_u * input_u)) * 7.1358614) + 0.586677)"
23,14.280093,"(((input_u - 1.5500019) * ((input_u + 7.988608) * 2.4966943)) + (3.110267 + ((2.6799755 / ((input_u * input_u) + 0.23159222)) * 5.143342))) * 1.0825475"
25,14.270825,"((((((input_u - 1.5789862) * (input_u + 7.8718014)) * 2.4430566) + 3.1161587) + ((2.8704383 / ((input_u * input_u) + 0.34309992)) * 5.2430735)) * 1.1240525) + 0.1996398"
27,14.270376,"(((((((input_u - 1.6495835) * (input_u + 7.767666)) * 2.4112303) + 3.118889) + ((2.9355886 / ((input_u * input_u) + 0.34483278)) * 5.2787905)) * 1.1230823) + 0.20885974) + input_u"
