Complexity,Loss,Equation
1,862.6864,"67.224304"
3,127.925415,"input_u * 20.213648"
5,2.6604676,"(input_u * input_u) * 5.1919823"
7,1.3989713,"((input_u * 5.0172076) * input_u) - -2.712283"
9,1.398146,"(((input_u * 4.9819613) + 0.2221931) * input_u) + 2.3964176"
11,1.396697,"(input_u * (((input_u * -0.014499316) + 5.0896997) * input_u)) + 2.5041714"
13,1.3926395,"(input_u + ((input_u * 4.9046187) * input_u)) + ((84215.46 / input_u) / 39341.2)"
15,1.3924257,"input_u + ((((-3638.226 / input_u) / 39341.2) * -23.780277) + ((input_u * 4.903603) * input_u))"
17,1.3923241,"(input_u + ((input_u * (input_u * 4.901956)) + (((-3638.2224 / input_u) * -23.224745) / 39341.2))) - -0.039388817"
18,1.3872426,"((((sqrt(input_u) + (input_u * 4.5191245)) * input_u) + input_u) - 2.2435448) + (-2143.514 / (input_u * -543.5071))"
20,1.3855346,"(input_u * (4.4354453 - ((input_u * -4.7416873) + sqrt(input_u)))) + ((-3175.7747 / (input_u * -382.73907)) + (input_u - 8.612475))"
21,1.3855088,"(((input_u - ((input_u * -4.56335) * input_u)) + (input_u - 5.168931)) + (sqrt(sqrt(input_u)) * input_u)) - (-6.2399106 / input_u)"
22,1.3853791,"((((input_u - 6.9201975) + ((sqrt(input_u) + input_u) / 0.96689975)) + input_u) - ((input_u * -4.628076) * input_u)) - (-6.9071307 / input_u)"
