Complexity,Loss,Equation
1,915.3723,"70.169235"
3,132.44089,"input_u * 20.601011"
5,2.553416,"(input_u * input_u) / 0.19287594"
7,1.3168443,"((input_u * input_u) * 5.0162716) + 2.7186573"
9,1.3159468,"(input_u * (0.22936587 - (input_u * -4.980342))) + 2.389611"
11,1.3099297,"((1.0946689 - (input_u * -4.883331)) * input_u) + (1.9974583 / input_u)"
13,1.3072851,"(input_u * (1.6854678 - (input_u * -4.813378))) + ((3.1473486 / input_u) + -1.5151892)"
15,1.3066344,"((input_u * ((input_u + 1.8594465) - (input_u * -3.7931309))) + -1.9723464) + (3.505965 / input_u)"
16,1.3061193,"((1.3259927 - (input_u * -4.845986)) * input_u) + (1.3033534 / (sqrt(input_u) * (input_u + -0.509923)))"
17,1.3039734,"((3.1192398 / (input_u * input_u)) + (input_u * (input_u + (1.9840974 - (input_u * -3.755208))))) + -1.1628388"
19,1.3037148,"(3.7005837 / (input_u * input_u)) + ((input_u * ((input_u + (2.5261247 - (input_u * -3.7106156))) - 0.19622844)) + -1.8567098)"
