Complexity,Loss,Equation
1,593.2094,"33.94531"
3,81.78667,"input_u * 16.220705"
5,2.7549708,"input_u * (input_u * 5.298526)"
7,1.6928666,"input_u * ((input_u * 4.7655544) + 1.719464)"
9,1.1548043,"(input_u * ((input_u * 4.0328455) + 5.347397)) + -3.8463736"
11,1.154804,"((input_u * ((input_u * 2.1548285) - -2.856913)) * 1.8715795) - 3.845881"
12,0.97319674,"(input_u + -0.58757764) * (((sqrt(input_u) * input_u) - -7.9831433) * 1.5163906)"
14,0.9379927,"input_u + (((((input_u * input_u) * 1.766207) - -19.66873) * sqrt(input_u)) - 16.623346)"
16,0.93764865,"((input_u + ((((input_u * input_u) * 1.7334476) - -17.649136) * sqrt(input_u))) - 15.589366) + input_u"
22,0.9271402,"(input_u * (((((((input_u * input_u) - -17.60718) * sqrt(sqrt(input_u))) + -2.9583573) * sqrt(input_u)) - 10.184881) / input_u)) / 0.9463958"
27,0.91176635,"((-13.340945 - (input_u * ((((input_u + input_u) * (sqrt(input_u) * 13.855727)) / input_u) + -39.024395))) + (((input_u + input_u) * 3.772992) * input_u)) * sqrt(input_u)"
29,0.9098647,"sqrt(input_u) * ((((input_u + input_u) * (input_u * 3.8177216)) + -6.498409) - ((input_u * (((((input_u + input_u) * 13.974414) * sqrt(input_u)) / input_u) + -39.116806)) + 6.711946))"
30,0.9095676,"((((((input_u + input_u) * 3.9511323) * input_u) + -14.923579) - ((((((sqrt(input_u) + input_u) * sqrt(input_u)) * 29.246479) / input_u) + -70.21074) * input_u)) * sqrt(input_u)) - -0.884631"
