Complexity,Loss,Equation
1,1361.7986,"51.785236"
3,268.56293,"input_u * 19.092062"
5,28.499126,"(input_u * input_u) * 5.156692"
7,19.433956,"((input_u * input_u) - 1.0097734) * 5.5405803"
8,15.751424,"sqrt(input_u) * ((input_u - 1.1971291) * 14.88956)"
9,11.456712,"((input_u * 40.859974) + (50.54208 / input_u)) + -91.99425"
11,11.456706,"(((input_u * 40.85927) - -0.14568095) - (-50.53885 / input_u)) - 92.13646"
12,11.451099,"(((50.884792 / input_u) + (input_u * 40.61285)) + sqrt(input_u)) + -93.089676"
13,11.379223,"((((input_u * -0.5256883) - -44.734627) * input_u) + -100.22771) - (-55.440308 / input_u)"
15,11.200758,"((((input_u * (input_u + -11.817442)) - -88.84844) * input_u) - (-90.52673 / input_u)) + -169.00107"
17,10.920045,"(-99.35575 - (-78.31582 / input_u)) + (((((input_u - 10.697059) * input_u) - -80.24872) * input_u) - 50.335403)"
19,6.091191,"(3.6923866 / (-2.871108 - ((input_u - 3.264287) * input_u))) + (input_u * ((input_u * 3.2068348) + (input_u - -4.1888266)))"
20,5.934899,"((input_u * ((sqrt(input_u) * input_u) - -15.662348)) + (3.118773 / (-3.0946991 - (input_u * (input_u - 3.4284198))))) + -10.781421"
25,5.9077034,"((input_u * (((input_u + sqrt(0.30923015)) * sqrt(input_u)) - -15.662348)) + ((3.118773 / (-3.0946991 - (input_u * (input_u - 3.4284198)))) + -10.781421)) - input_u"
27,4.9019294,"(((((input_u * (input_u * 0.47909662)) - -13.5704) + 1.1005567) * input_u) + (input_u + -9.874789)) + (2.4386458 / (input_u + (-3.0274699 - ((input_u - 2.4082615) * input_u))))"
29,4.8959723,"((2.4384048 / (input_u + (-3.0289786 - (input_u * (input_u - 2.4086173))))) + (((((0.4802745 * (input_u * input_u)) - -13.570609) + 1.1005512) * input_u) + (-9.874685 + input_u))) + -0.09405551"
