Complexity,Loss,Equation
1,923.73346,"24.9317"
3,126.86452,"input_u * 17.079512"
5,12.046337,"(input_u * input_u) * 5.2026114"
7,11.59127,"(input_u * (input_u - 0.21445183)) * 5.538882"
9,11.539324,"(input_u * ((input_u * 5.5168743) - 1.0111712)) - 0.32617587"
11,11.539322,"((((input_u - 0.0020544955) * input_u) * 5.51693) - input_u) + -0.32629943"
12,11.508987,"input_u * ((sqrt(input_u * input_u) + -1.2841672) + (input_u * 4.5663705))"
15,11.360092,"((input_u + input_u) * (((-1.2110585 / input_u) + (input_u * -0.09503034)) - -3.292258)) * input_u"
16,11.057053,"((input_u + (input_u - -1.0493879)) * sqrt((input_u * (input_u - 1.0955689)) - -0.30120304)) * 2.686179"
18,10.72234,"((((input_u + input_u) - -3.4986756) * 2.213613) * sqrt(((input_u - 1.1602379) * input_u) - -0.5136633)) - 4.7460427"
24,10.355122,"(sqrt(((input_u - 1.8109176) * (input_u + input_u)) + (input_u - -2.3486779)) * (((input_u + input_u) - -2.224117) + (input_u + 5.073015))) - 10.591759"
