Complexity,Loss,Equation
1,1602.3832,"43.73519"
3,165.03886,"input_u * 19.781517"
5,11.803821,"(input_u * input_u) * 5.1723294"
7,10.993629,"input_u * ((input_u * 5.568423) + -1.5793524)"
9,10.695255,"(((input_u * 5.5370317) + -1.2253696) * input_u) - 0.87776667"
14,10.434365,"(input_u * input_u) * (sqrt(((-1.4202533 - input_u) * 2.6243799) + 15.872751) + input_u)"
15,8.136411,"(((input_u + input_u) * (input_u * 18.747948)) * input_u) / ((input_u * input_u) - -12.662171)"
17,7.16409,"((((input_u + input_u) * 17.9344) * input_u) + -37.137093) * (input_u / ((input_u * input_u) - -9.541273))"
19,6.578945,"(((input_u + -1.3051353) * ((input_u / ((input_u * input_u) - -4.0809507)) * 19.029228)) * (input_u + input_u)) + 2.6288543"
21,6.352779,"((input_u * input_u) * ((2.6367288 / ((((input_u + -3.0939634) * input_u) - -5.7405376) + 0.11907001)) * input_u)) * (input_u + 0.7376905)"
23,5.9779677,"((((input_u * (input_u * 5.5517964)) * (input_u * input_u)) * 0.542749) + -0.26406506) / ((input_u * (input_u + -1.9043458)) - (input_u - 4.801904))"
27,5.706739,"(input_u + 0.10387595) * (((input_u * (((input_u * 26.316133) * input_u) * 0.12212256)) / ((((input_u + -1.7231057) * input_u) - (input_u - 4.3654118)) + -0.14475894)) + -1.6893605)"
29,5.5260057,"(((input_u + ((((((input_u * input_u) * 26.000189) * input_u) * 0.09914101) / ((input_u * (input_u + -2.0112689)) - (input_u - 4.4914627))) - 0.73794025)) + -1.8451625) * input_u) + 0.06474511"
